Player,#,POS,Games,Season_TOT,Season_KRET,Season_KCOV,Season_PRET,Season_PCOV,Season_FGBLK,Season_FGK,Season_KRETURNS,Season_KRETURN_YARDS,Season_KRETURN_YPA,Season_PRETURNS,Season_PRETURN_YARDS,Season_PRETURN_YPA
Ryan Manning,11,ST,4,14,12,0,2,0,0,0,0,0,0.0,0,0,0.0
Zahir Mathis,D09,ST,3,13,0,2,1,0,2,8,0,0,0.0,0,0,0.0
Ethan Gough,S96,LS,4,47,0,0,0,7,0,25,0,0,0.0,0,0,0.0
Ryan Howerton,75,ST,3,25,0,0,0,0,0,25,0,0,0.0,0,0,0.0
Aliou Bah,66,ST,4,23,0,0,0,0,0,23,0,0,0.0,0,0,0.0
Jaylen Gilchrist,70,ST,1,7,0,0,0,0,0,7,0,0,0.0,0,0,0.0
Alan Herron,71,ST,4,25,0,0,0,0,0,25,0,0,0.0,0,0,0.0
Sidney Stewart,D29,ST,4,14,0,6,1,0,1,6,0,0,0.0,0,0,0.0
Braydon Lee,D02,ST,4,56,0,25,19,8,6,0,0,0,0.0,0,0,0.0
DD Holmes,D56,ST,4,12,0,0,0,0,4,8,0,0,0.0,0,0,0.0
Trevor Szymanski,50,ST,4,25,0,0,0,0,0,25,0,0,0.0,0,0,0.0
Rahtrel Perry,76,ST,4,25,0,0,0,0,0,25,0,0,0.0,0,0,0.0
Mekhai White,D08,ST,4,31,12,0,16,0,1,2,0,0,0.0,0,0,0.0
Jamare Glasker,D14,ST,2,15,0,7,1,0,0,7,0,0,0.0,0,0,0.0
Thomas McCluskey,48,ST,1,3,0,3,0,0,0,0,0,0,0.0,0,0,0.0
Darius Grimes,D48,ST,4,43,10,17,16,0,0,0,0,0,0.0,0,0,0.0
Shaleak Knotts,04,ST,1,2,0,0,2,0,0,0,0,0,0.0,0,0,0.0
Nolan Ray,02,ST,3,5,3,1,0,1,0,0,0,0,0.0,0,0,0.0
J.T. Taggart,85,ST,4,33,4,0,18,0,0,11,0,0,0.0,0,0,0.0
La'khi Roland,D27,ST,4,12,0,5,2,0,7,0,0,0,0.0,0,0,0.0
Trey Reddick,D03,ST,3,5,0,0,1,0,4,0,0,0,0.0,0,0,0.0
Philip Noyes,S43,P,4,26,0,21,0,0,0,5,0,0,0.0,0,0,0.0
Sean O'Haire,S36,K,4,25,0,0,0,0,0,25,0,0,0.0,0,0,0.0
Logan Bennett,69,ST,1,1,0,0,0,0,0,1,0,0,0.0,0,0,0.0
Gavin Edwards,D07,ST,2,3,0,0,0,0,3,0,0,0,0.0,0,0,0.0
Kaleb Webb,84,ST,4,13,0,0,13,0,0,0,0,0,0.0,0,0,0.0
Cam Rice,D10,ST,3,5,0,0,2,0,3,0,0,0,0.0,0,0,0.0
EJ Moore Jr.,D50,ST,2,3,0,0,1,0,2,0,0,0,0.0,0,0,0.0
Eyan Thomas,D98,ST,2,2,0,0,0,0,2,0,0,0,0.0,0,0,0.0
Octavian Smith Jr.,05,ST,3,7,0,0,0,6,0,1,0,0,0.0,0,0,0.0
Leon Haughton Jr.,16,ST,2,13,3,0,0,10,0,0,0,0,0.0,0,0,0.0
Lavain Scruggs,D13,ST,4,23,0,0,1,14,8,0,0,0,0.0,0,0,0.0
Jalen Huskey,D22,ST,3,36,1,8,3,16,8,0,0,0,0.0,0,0,0.0
Daniel Owens,D39,ST,3,6,5,0,1,0,0,0,0,0,0.0,0,0,0.0
Carlton Smith,D32,ST,4,25,1,18,3,0,3,0,0,0,0.0,0,0,0.0
Eli Mason,27,ST,4,74,13,21,13,15,0,12,0,0,0.0,0,0,0.0
DJ Samuels,20,ST,4,29,11,12,2,9,0,1,1,0,0.0,0,0,0.0
AJ Szymanski,89,ST,4,59,10,0,0,18,0,31,0,0,0.0,0,0,0.0
Ricardo Cooper Jr.,D25,ST,4,79,13,21,13,15,0,17,4,37,18.5,2,8,4.0
Messiah Delhomme,D33,ST,4,79,13,21,20,15,5,5,0,0,0.0,0,0,0.0
Michael Harris,D31,ST,4,19,1,16,1,0,1,0,0,0,0.0,0,0,0.0
Bryce McFerson,S34,P,4,47,0,0,0,18,0,29,0,0,0.0,0,0,0.0
Daniel Wingate,D01,ST,4,27,1,5,0,18,3,0,0,0,0.0,0,0,0.0
Dontay Joyner,D06,ST,3,7,0,1,5,0,1,0,0,0,0.0,0,0,0.0
Jalil Farooq,01,WR,4,10,4,0,0,0,0,6,4,0,0.0,4,6,1.5
Josiah McLaurin,17,HB,3,37,9,0,28,0,0,0,4,62,15.5,5,28,5.6
