Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week5_Snaps,Week5_Started
Daniel Wingate,D01,*,MLB,69,true,70,true,21,true,59,true,76,true
La'khi Roland,D27,,RCB,26,false,32,false,27,false,19,false,,false
Ricardo Cooper Jr.,D25,,RCB,9,false,65,false,,false,,false,,false
Sidney Stewart,D29,*,ROLB,51,true,57,true,35,false,52,true,30,true
Dontay Joyner,D06,*,LCB,63,true,32,true,33,true,54,true,79,true
Jalen Huskey,D22,*,FS,51,true,57,true,28,true,56,true,75,true
Jamare Glasker,D14,*,LCB,57,true,32,true,,false,,false,79,true
Michael Harris,D31,,MLB,5,false,,false,11,false,13,false,,false
Joel Starlings,D44,,DLT,20,false,,false,,false,9,false,,false
Kevyn Humes,D04,*,SCB,65,true,43,true,30,false,54,true,67,true
Keyshawn Flowers,D23,,MLB,29,false,54,true,35,false,40,true,3,false
Jayden Shipps,D12,,SCB,34,false,5,false,,false,7,false,2,false
Gavin Edwards,D07,,FS,42,false,13,false,37,false,10,false,,false
Lavain Scruggs,D13,*,FS,49,true,45,true,37,false,45,true,60,true
Messiah Delhomme,D33,,FS,50,false,21,false,33,false,40,false,29,false
Carlton Smith,D32,,MLB,55,false,,false,35,false,32,false,53,false
Eyan Thomas,D98,,DLT,33,false,35,false,17,false,32,false,44,false
Zahir Mathis,D09,*,ROLB,39,true,48,true,36,true,52,true,68,true
Shamar McIntosh,D26,,FS,4,false,,false,,false,,false,,false
Cam Rice,D10,*,DLT,50,false,27,true,24,true,43,true,53,true
Darius Grimes,D48,,LOLB,9,false,1,false,,false,,false,,false
Braydon Lee,D02,,RCB,32,false,18,false,,false,19,false,,false
Daniel Owens,D39,,DLT,23,false,12,false,17,false,20,false,,false
Lloyd Irvin III,D15,,LCB,4,false,,false,,false,,false,,false
DD Holmes,D56,,ROLB,37,false,9,false,22,false,27,false,,false
EJ Moore Jr.,D50,,DLT,15,false,15,false,18,false,15,false,8,false
Nahsir Taylor,D40,,LOLB,,false,21,false,35,true,56,true,,false
Dillan Fontus,D46,*,DRT,,false,34,true,24,true,43,true,49,true
Trey Reddick,D03,*,MLB,,false,54,true,17,false,,false,72,true
Sedrick Smith,D91,,NT,,false,8,false,7,false,9,false,4,false
Mekhai White,D08,,LCB,,false,1,false,1,false,,false,,false
Bryce Jenkins,D57,,DRT,,false,,false,19,false,20,false,,false
Neeo Avery,D00,,LOLB,,false,,false,11,false,18,false,,false
Alex Moore,D50,,DRT,,false,,false,5,false,,false,,false
