Player,#,POS,Games,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK,SEASON_KRETURNS,SEASON_KRETURN_YARDS,SEASON_KRETURN_YPA,SEASON_PRETURNS,SEASON_PRETURN_YARDS,SEASON_PRETURN_YPA
Zahir Mathis,D09,ED,5,90,0,7,6,0,11,0,0,0,0.0,0,0,0.0
Darius Grimes,D48,ED,5,35,15,22,18,0,0,0,0,0,0.0,0,0,0.0
Messiah Delhomme,D33,S,5,90,10,31,19,22,8,0,0,0,0.0,0,0,0.0
Jalen Huskey,D22,S,4,41,1,8,3,21,8,0,0,0,0.0,0,0,0.0
Carlton Smith,D32,LB,5,37,1,27,3,0,6,0,0,0,0.0,0,0,0.0
DJ Samuels,D20,FB,4,46,11,21,2,12,0,0,0,0,0.0,0,0,0.0
La'khi Roland,D27,CB,4,14,0,5,2,0,7,0,0,0,0.0,0,0,0.0
Michael Harris,D31,LB,5,30,1,24,1,0,4,0,0,0,0.0,0,0,0.0
Ryan Manning,11,WR,5,19,17,0,2,0,0,0,0,0,0.0,0,0,0.0
Jayden Shipps,D12,CB,4,53,2,23,19,4,5,0,0,0,0.0,0,0,0.0
Ethan Gough,S96,LS,5,55,0,0,0,25,0,30,0,0,0.0,0,0,0.0
J.T. Taggart,S85,TE,5,55,12,0,20,0,0,23,0,0,0.0,0,0,0.0
Alex Moore,D18,S,4,52,4,23,18,6,1,0,0,0,0.0,0,0,0.0
Kaleb Webb,84,WR,5,20,0,0,20,0,0,0,0,0,0.0,0,0,0.0
Alan Herron,71,T,5,30,0,0,0,0,0,30,0,0,0.0,0,0,0.0
Aliou Bah,66,G,5,28,0,0,0,0,0,28,0,0,0.0,0,0,0.0
Ryan Howerton,75,G,3,20,0,0,0,0,0,20,0,0,0.0,0,0,0.0
Trevor Szymanski,50,C,5,30,0,0,0,0,0,30,0,0,0.0,0,0,0.0
Rahtrel Perry,76,T,5,30,0,0,0,0,0,30,0,0,0.0,0,0,0.0
Mekhai White,D08,CB,5,38,17,0,20,0,1,0,0,0,0.0,0,0,0.0
Dillan Fontus,D46,DI,4,32,0,0,3,0,6,23,0,0,0.0,0,0,0.0
Amory Hills,77,G,3,12,0,0,0,0,0,12,0,0,0.0,0,0,0.0
Philip Noyes,S43,P,5,31,0,31,0,0,0,0,0,0,0.0,0,0,0.0
Jaylen Gilchrist,70,T,1,7,0,0,0,0,0,7,0,0,0.0,0,0,0.0
DD Holmes,D56,ED,4,12,0,0,1,0,4,7,0,0,0.0,0,0,0.0
Josiah McLaurin,17,HB,5,0,0,0,0,0,0,0,4,62,15.5,5,28,5.6
Ricardo Cooper Jr.,D25,CB,5,0,0,0,0,0,0,0,4,37,18.5,2,8,4.0
Jalil Farooq,01,WR,5,0,0,0,0,0,0,0,4,0,0.0,4,6,1.5
Sean O'Haire,S36,K,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
Bryce McFerson,S34,P,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0
