Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week6_Snaps,Week6_Started,Week7_Snaps,Week7_Started,Week8_Snaps,Week8_Started,Week9_Snaps,Week9_Started
Quindarius Dunnigan,D99,Jr.,ED,27,FALSE,23,FALSE,26,FALSE,13,FALSE,24,FALSE,24,FALSE,23,FALSE,22,FALSE
Joshua Eaton,D07,Jr.,CB,39,FALSE,36,FALSE,35,FALSE,57,FALSE,34,FALSE,39,FALSE,39,FALSE,55,FALSE
Cam Williams,D44,Jr.,ED,13,FALSE,17,FALSE,15,FALSE,19,FALSE,12,FALSE,27,FALSE,18,FALSE,20,FALSE
Darius Snow,D23,Jr.,LB,12,FALSE,26,FALSE,3,FALSE,40,FALSE,18,FALSE,23,FALSE,5,FALSE,37,FALSE
Armorion Smith,D19,Jr.,S,41,FALSE,73,FALSE,14,FALSE,36,FALSE,54,FALSE,61,FALSE,47,FALSE,15,FALSE
Isaac Smith,D13,Jr.,ED,14,FALSE,23,FALSE,15,FALSE,22,FALSE,27,FALSE,29,FALSE,20,FALSE,29,FALSE
Ru'Quan Buckley,D88,Jr.,DI,7,FALSE,17,FALSE,16,FALSE,15,FALSE,12,FALSE,45,FALSE,14,FALSE,15,FALSE
Wayne Matthews III,D10,Jr.,LB,52,FALSE,67,FALSE,54,FALSE,37,FALSE,41,FALSE,56,FALSE,57,FALSE,69,FALSE
Grady Kelly,D16,Jr.,DI,27,FALSE,36,FALSE,30,FALSE,32,FALSE,34,FALSE,33,FALSE,0,FALSE,38,FALSE
Malcolm Bell,D14,Jr.,CB,39,FALSE,72,FALSE,42,FALSE,67,FALSE,50,FALSE,63,FALSE,58,FALSE,67,FALSE
Aisea Moa,D08,Jr.,LB,17,FALSE,7,FALSE,16,FALSE,43,FALSE,14,FALSE,14,FALSE,11,FALSE,29,FALSE
Malik Spencer,D43,Jr.,S,52,FALSE,55,FALSE,37,FALSE,60,FALSE,53,FALSE,70,FALSE,35,FALSE,67,FALSE
Alex VanSumeren,D91,Jr.,DI,27,FALSE,40,FALSE,28,FALSE,47,FALSE,34,FALSE,50,FALSE,41,FALSE,53,FALSE
Ade Willie,D06,Jr.,CB,30,FALSE,47,FALSE,33,FALSE,27,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Ben Roberts,D55,Jr.,DI,21,FALSE,34,FALSE,20,FALSE,32,FALSE,21,FALSE,0,FALSE,29,FALSE,4,FALSE
Jeremiah Hughes,D03,So.,CB,10,FALSE,0,FALSE,16,FALSE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Jordan Hall,D05,So.,LB,55,FALSE,66,FALSE,32,FALSE,21,FALSE,55,FALSE,57,FALSE,47,FALSE,46,FALSE
Chance Rucker,D25,So.,CB,19,FALSE,28,FALSE,9,FALSE,10,FALSE,3,FALSE,6,FALSE,2,FALSE,0,FALSE
Marcellius Pulliam,D04,So.,LB,3,FALSE,5,FALSE,14,FALSE,29,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Jalen Thompson,D09,So.,ED,30,FALSE,42,FALSE,28,FALSE,47,FALSE,27,FALSE,0,FALSE,24,FALSE,46,FALSE
Semaj Bridgeman,D17,So.,ED,6,FALSE,0,FALSE,5,FALSE,5,FALSE,4,FALSE,6,FALSE,3,FALSE,4,FALSE
Justin Denson Jr.,D12,Fr.,S,12,FALSE,12,FALSE,21,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Brady Pretzlaff,D45,Fr.,LB,6,FALSE,8,FALSE,15,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Anelu Lafaele,D11,Fr.,ED,17,FALSE,17,FALSE,14,FALSE,14,FALSE,6,FALSE,0,FALSE,0,FALSE,0,FALSE
Devynn Cromwell,D27,Jr.,S,11,FALSE,10,FALSE,19,FALSE,0,FALSE,23,FALSE,8,FALSE,11,FALSE,0,FALSE
David Santiago,D41,So.,ED,14,FALSE,23,FALSE,13,FALSE,13,FALSE,21,FALSE,26,FALSE,21,FALSE,19,FALSE
Kekai Burnett,D51,Fr.,ED,3,FALSE,4,FALSE,7,FALSE,7,FALSE,0,FALSE,32,FALSE,12,FALSE,1,FALSE
Aydan West,D02,Fr.,CB,16,FALSE,6,FALSE,16,FALSE,0,FALSE,26,FALSE,34,FALSE,22,FALSE,12,FALSE
Anthony Pinnace III,D24,Jr.,CB,3,FALSE,0,FALSE,3,FALSE,4,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Derrick Simmons,D98,Fr.,DI,15,FALSE,9,FALSE,12,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Khalil Majeed,D34,Jr.,S,0,FALSE,0,FALSE,7,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,6,FALSE
Nikai Martinez,D01,Jr.,S,0,FALSE,0,FALSE,31,FALSE,36,FALSE,0,FALSE,0,FALSE,0,FALSE,68,FALSE
NiJhay Burt,D00,Jr.,CB,0,FALSE,0,FALSE,10,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Tyler Gillison,D22,Jr.,ED,0,FALSE,0,FALSE,4,FALSE,0,FALSE,0,FALSE,4,FALSE,1,FALSE,0,FALSE
Dorian Davis,D38,Jr.,CB,0,FALSE,0,FALSE,7,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Mikeshun Beeler,D52,Fr.,DI,0,FALSE,0,FALSE,4,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Dontavius Nash,D28,Jr.,CB,0,FALSE,0,FALSE,0,FALSE,0,FALSE,13,FALSE,54,FALSE,46,FALSE,16,FALSE
Jalen Satchell,D93,Jr.,DI,0,FALSE,0,FALSE,0,FALSE,0,FALSE,4,FALSE,18,FALSE,29,FALSE,20,FALSE
Omari Kelly,D01,Jr.,WR,0,FALSE,0,FALSE,0,FALSE,0,FALSE,1,FALSE,1,FALSE,0,FALSE,0,FALSE
Aveon Grose,D30,Jr.,S,0,FALSE,0,FALSE,0,FALSE,0,FALSE,1,FALSE,1,FALSE,23,FALSE,0,FALSE
Jay Coyne,D44,Jr.,FB,0,FALSE,0,FALSE,0,FALSE,0,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE
Evan Boyd,D08,So.,WR,0,FALSE,0,FALSE,0,FALSE,0,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE
Brennan Parachek,D82,So.,TE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE
Jayden Savoury,D31,Fr.,TE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE
Ben Nelson,D75,Jr.,DI,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,1,FALSE
