Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week6_Snaps,Week6_Started,Week7_Snaps,Week7_Started,Week8_Snaps,Week8_Started,Week9_Snaps,Week9_Started
Alante Brown,00,Jr.,WR,2,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false
Caleb Carter,72,Jr.,G,48,false,53,false,41,false,49,false,37,false,54,false,65,false,74,false
Matt Gulbin,51,Jr.,C,70,false,70,false,63,false,60,false,72,false,61,false,65,false,77,false
Elijah Tau-Tolliver,04,Jr.,HB,19,false,6,false,9,false,6,false,3,false,6,false,21,false,31,false
Omari Kelly,01,Jr.,WR,47,false,60,false,48,false,57,false,65,false,58,false,57,false,69,false
Gavin Broscious,74,Jr.,G,49,false,17,false,38,false,33,false,50,false,36,false,65,false,65,false
Jay Coyne,44,Jr.,FB,11,false,6,false,7,false,2,false,5,false,3,false,1,false,6,false
Ashton Lepo,66,Jr.,T,43,false,26,false,0,false,0,false,66,false,54,false,0,false,0,false
Michael Masunas,81,Jr.,TE,42,false,34,false,33,false,32,false,27,false,20,false,24,false,34,false
Kristian Phillips,71,Jr.,G,43,false,39,false,31,false,38,false,57,false,32,false,0,false,0,false
Kai Rios,88,Jr.,TE,2,false,0,false,0,false,0,false,0,false,8,false,0,false,0,false
Jack Velling,12,Jr.,TE,47,false,60,false,47,false,41,false,58,false,54,false,52,false,58,false
Chrishon McCray,13,Jr.,WR,36,false,37,false,31,false,35,false,50,false,37,false,52,false,62,false
Conner Moore,58,Jr.,T,57,false,55,false,59,false,60,false,72,false,61,false,65,false,76,false
Evan Boyd,08,So.,WR,14,false,0,false,42,false,1,false,9,false,6,false,11,false,2,false
Aidan Chiles,02,So.,QB,64,false,70,false,63,false,60,false,60,false,37,false,58,false,66,false
Stanton Ramil,65,So.,T,40,false,59,false,37,false,9,false,0,false,0,false,0,false,18,false
Nick Marsh,06,Fr.,WR,56,false,69,false,17,false,59,false,60,false,55,false,55,false,72,false
Alessio Milivojevic,11,Fr.,QB,6,false,0,false,0,false,0,false,12,false,24,false,7,false,11,false
Brandon Tullis,07,Fr.,HB,22,false,22,false,30,false,30,false,25,false,20,false,9,false,11,false
Rodney Bullard Jr.,03,Jr.,WR,23,false,7,false,13,false,6,false,4,false,3,false,8,false,2,false
Makhi Frazier,05,Fr.,HB,29,false,44,false,24,false,24,false,44,false,35,false,33,false,32,false
Luka Vincic,70,Jr.,G,0,false,31,false,16,false,0,false,0,false,0,false,0,false,0,false
Brennan Parachek,82,So.,TE,0,false,2,false,8,false,7,false,6,false,0,false,0,false,0,false
Jayden Savoury,31,Fr.,TE,0,false,2,false,6,false,0,false,4,false,0,false,0,false,0,false
Rakeem Johnson,55,Fr.,T,0,false,0,false,4,false,0,false,0,false,0,false,26,false,18,false
Rustin Young,73,Fr.,T,0,false,0,false,26,false,51,false,6,false,7,false,39,false,59,false
Bryson Williams,14,Fr.,WR,0,false,0,false,0,false,0,false,0,false,0,false,2,false,3,false
Andrew Dennis,77,Fr.,G,0,false,0,false,0,false,0,false,0,false,0,false,0,false,1,false
