Player,#,POS,Games,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Alante Brown,00,WR,2,16,8,0,0,8,0,0
Quindarius Dunnigan,D99,ED,1,2,0,0,0,0,2,0
Joshua Eaton,D07,CB,6,11,0,0,3,0,8,0
Cam Williams,D44,ED,1,1,0,0,1,0,0,0
Sam Edwards,D35,LB,7,69,43,1,2,23,0,0
Darius Snow,D23,LB,7,80,4,35,16,23,2,0
Caleb Carter,72,G,7,29,0,0,0,1,0,28
Dontavius Nash,D28,CB,3,30,0,11,2,3,14,0
Matt Gulbin,51,C,1,1,0,0,0,1,0,0
Armorion Smith,D19,S,6,47,0,5,4,10,28,0
Jalen Satchell,D93,DI,1,2,0,0,0,0,2,0
Isaac Smith,D13,ED,6,37,0,0,0,0,37,0
Khalil Majeed,D34,S,7,73,41,29,2,1,0,0
Ru'Quan Buckley,D88,DI,7,38,0,0,3,0,35,0
Wayne Matthews III,D10,LB,7,48,2,1,5,8,32,0
Carson Voss,S48,P,1,1,0,0,0,0,0,1
Grady Kelly,D16,DI,3,5,0,0,5,0,0,0
Malcolm Bell,D14,CB,7,37,0,0,2,0,35,0
Elijah Tau-Tolliver,04,HB,7,48,41,7,0,0,0,0
Omari Kelly,01,WR,6,25,2,2,21,0,0,0
Aisea Moa,D08,LB,6,52,8,2,8,14,20,0
Aveon Grose,D30,S,7,112,41,33,16,20,2,0
Gavin Broscious,74,G,7,33,0,0,0,1,0,32
Jay Coyne,44,FB,6,86,37,27,13,9,0,0
Ryan Eckley,S96,P,7,73,0,18,0,23,0,32
Michael Masunas,81,TE,5,30,2,0,0,2,0,26
Kristian Phillips,71,G,1,4,0,0,0,0,0,4
Malik Spencer,D43,S,6,38,0,2,4,0,32,0
Alex VanSumeren,D91,DI,2,13,0,0,0,0,13,0
Ade Willie,D06,CB,4,43,0,20,1,6,16,0
Nikai Martinez,D01,S,2,8,0,0,0,0,8,0
Kai Rios,88,TE,4,12,6,0,0,0,0,6
NiJhay Burt,D00,CB,4,12,0,2,9,0,1,0
Jack Velling,12,TE,7,35,2,0,0,1,0,32
Chrishon McCray,13,WR,6,36,35,0,0,1,0,0
Ben Roberts,D55,DI,6,26,0,0,0,0,26,0
Tyler Gillison,D22,ED,3,10,0,7,3,0,0,0
Conner Moore,58,T,7,29,0,0,0,1,0,28
Evan Boyd,08,WR,6,12,1,2,8,1,0,0
Jeremiah Hughes,D03,CB,4,7,4,0,1,0,2,0
Aidan Chiles,02,QB,1,1,0,0,0,1,0,0
Jordan Hall,D05,LB,5,23,2,1,4,0,16,0
David Millikin,D42,LB,3,18,18,0,0,0,0,0
Brennan Parachek,82,TE,4,18,8,0,0,10,0,0
Chance Rucker,D25,CB,6,59,14,8,5,5,27,0
Marcellius Pulliam,D04,LB,5,60,13,18,11,14,4,0
Caleb Gash,D15,CB,1,12,2,4,6,0,0,0
Cooper Terpstra,54,C,6,28,0,0,0,0,0,28
Jalen Thompson,D09,ED,4,22,0,0,5,0,17,0
Jaxson Wilson,49,TE,1,7,0,7,0,0,0,0
Semaj Bridgeman,D17,ED,7,102,33,30,16,23,0,0
Justin Denson Jr.,D12,S,3,6,0,4,0,0,2,0
Mercer Luniewski,79,T,1,4,0,0,0,0,0,4
Nick Marsh,06,WR,3,3,1,2,0,0,0,0
Brady Pretzlaff,D45,LB,3,23,1,12,8,0,2,0
Brandon Tullis,07,HB,1,1,0,0,0,1,0,0
Anelu Lafaele,D11,ED,5,16,0,1,14,0,1,0
Devynn Cromwell,D27,S,7,80,39,33,0,0,8,0
David Santiago,D41,ED,4,23,0,15,8,0,0,0
Rodney Bullard Jr.,03,WR,1,1,0,0,0,1,0,0
Kekai Burnett,D51,ED,2,13,0,0,0,0,13,0
Martin Connington,S29,K,6,43,0,18,0,0,0,25
Shawn Foster,20,HB,1,1,0,0,0,1,0,0
Makhi Frazier,05,HB,1,1,0,1,0,0,0,0
Wyatt Hook,84,TE,1,11,7,0,0,0,0,4
Rakeem Johnson,55,T,7,83,27,0,0,24,0,32
Rustin Young,73,T,7,32,0,0,0,0,0,32
Aydan West,D02,CB,5,43,21,0,15,3,4,0
Blake Sislo,S86,K,3,7,0,1,0,0,0,6
Anthony Pinnace III,D24,CB,6,31,0,25,5,0,1,0
Jack Wills,S87,LS,7,55,0,0,0,23,0,32
Derrick Simmons,D98,DI,3,8,0,0,2,0,6,0
Evan Young,D32,CB,1,1,0,0,0,1,0,0
Jayden Savoury,31,TE,3,13,10,1,2,0,0,0
