Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week5_Snaps,Week5_Started,Week6_Snaps,Week6_Started,Week7_Snaps,Week7_Started,Week8_Snaps,Week8_Started,Week9_Snaps,Week9_Started
Rushawn Lawrence,D16,Jr.,DI,13,FALSE,14,FALSE,42,FALSE,37,FALSE,27,FALSE,27,FALSE,25,FALSE,25,FALSE
Lucas Finnessy,D46,Jr.,ED,9,FALSE,12,FALSE,6,FALSE,11,FALSE,19,FALSE,12,FALSE,6,FALSE,9,FALSE
Jalen Logan-Redding,D97,Jr.,DI,31,FALSE,9,FALSE,24,FALSE,29,FALSE,17,FALSE,44,FALSE,20,FALSE,14,FALSE
Devon Williams,D09,Jr.,LB,37,FALSE,14,FALSE,59,FALSE,73,FALSE,54,FALSE,84,FALSE,54,FALSE,56,FALSE
Nate Becker,D89,Jr.,DI,10,FALSE,13,FALSE,16,FALSE,20,FALSE,24,FALSE,22,FALSE,7,FALSE,14,FALSE
Deven Eastern,D91,Jr.,DI,34,FALSE,5,FALSE,40,FALSE,49,FALSE,33,FALSE,58,FALSE,30,FALSE,34,FALSE
Maverick Baranowski,D06,Jr.,LB,39,FALSE,9,FALSE,55,FALSE,65,FALSE,40,FALSE,69,FALSE,41,FALSE,53,FALSE
Anthony Smith,D00,Jr.,ED,35,FALSE,10,FALSE,62,FALSE,65,FALSE,37,FALSE,73,FALSE,48,FALSE,47,FALSE
Joey Gerlach,D19,Jr.,LB,4,FALSE,17,FALSE,2,FALSE,6,FALSE,11,FALSE,6,FALSE,6,FALSE,9,FALSE
Aidan Gousby,D07,Jr.,S,40,FALSE,14,FALSE,65,FALSE,52,FALSE,0,FALSE,0,FALSE,31,FALSE,5,FALSE
John Nestor,D17,So.,CB,44,FALSE,19,FALSE,60,FALSE,76,FALSE,55,FALSE,81,FALSE,0,FALSE,40,FALSE
Jaxon Howard,D01,So.,ED,24,FALSE,14,FALSE,42,FALSE,45,FALSE,32,FALSE,47,FALSE,24,FALSE,25,FALSE
Kerry Brown,D14,So.,S,43,FALSE,13,FALSE,15,FALSE,65,FALSE,56,FALSE,88,FALSE,53,FALSE,54,FALSE
Za'Quan Bryan,D04,So.,CB,44,FALSE,16,FALSE,55,FALSE,41,FALSE,50,FALSE,64,FALSE,54,FALSE,46,FALSE
Matt Kingsbury,D49,So.,LB,9,FALSE,22,FALSE,23,FALSE,4,FALSE,29,FALSE,13,FALSE,5,FALSE,24,FALSE
Karter Menz,D11,So.,ED,11,FALSE,12,FALSE,20,FALSE,27,FALSE,27,FALSE,39,FALSE,33,FALSE,32,FALSE
Garrison Monroe,D23,So.,S,4,FALSE,20,FALSE,10,FALSE,0,FALSE,0,FALSE,15,FALSE,0,FALSE,0,FALSE
Koi Perich,D03,Fr.,S,44,FALSE,19,FALSE,67,FALSE,77,FALSE,58,FALSE,88,FALSE,55,FALSE,51,FALSE
Emmanuel Karmo,D02,Fr.,LB,9,FALSE,6,FALSE,17,FALSE,13,FALSE,6,FALSE,11,FALSE,14,FALSE,3,FALSE
Jeff Roberson,D20,Jr.,LB,0,FALSE,17,FALSE,1,FALSE,3,FALSE,17,FALSE,1,FALSE,0,FALSE,0,FALSE
Jai'Onte' McMillan,D24,Jr.,CB,0,FALSE,14,FALSE,11,FALSE,11,FALSE,4,FALSE,48,FALSE,51,FALSE,26,FALSE
Darius Green,D12,Jr.,S,0,FALSE,21,FALSE,28,FALSE,28,FALSE,23,FALSE,62,FALSE,30,FALSE,27,FALSE
Jaylen Bowden,D05,So.,CB,0,FALSE,15,FALSE,0,FALSE,0,FALSE,1,FALSE,0,FALSE,5,FALSE,0,FALSE
Mason Carrier,D48,Fr.,LB,0,FALSE,7,FALSE,0,FALSE,1,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE
Jaylin Hicks,D55,Fr.,DI,0,FALSE,18,FALSE,0,FALSE,11,FALSE,13,FALSE,5,FALSE,7,FALSE,16,FALSE
Adam Kissayi,D98,Fr.,ED,0,FALSE,15,FALSE,0,FALSE,1,FALSE,5,FALSE,3,FALSE,1,FALSE,0,FALSE
Simon Seidl,D27,Fr.,CB,0,FALSE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Riley Sunram,D93,Fr.,DI,0,FALSE,15,FALSE,0,FALSE,0,FALSE,1,FALSE,8,FALSE,5,FALSE,6,FALSE
Naiim Parrish,D21,Fr.,CB,0,FALSE,21,FALSE,0,FALSE,0,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE
Zack Harden,D26,Fr.,S,0,FALSE,3,FALSE,0,FALSE,0,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE
Mike Gerald,D13,Fr.,CB,0,FALSE,0,FALSE,17,FALSE,37,FALSE,5,FALSE,0,FALSE,0,FALSE,0,FALSE
Zahir Rainer,D25,Fr.,CB,0,FALSE,0,FALSE,0,FALSE,0,FALSE,2,FALSE,0,FALSE,0,FALSE,0,FALSE
