Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week5_Snaps,Week5_Started,Week6_Snaps,Week6_Started,Week7_Snaps,Week7_Started,Week8_Snaps,Week8_Started,Week9_Snaps,Week9_Started
Cam Davis,23,Jr.,HB,10,false,7,false,43,false,29,false,11,false,2,false,2,false,11,false
Marcellus Marshall,74,Jr.,G,80,false,31,false,73,false,61,false,51,false,66,false,59,false,53,false
Logan Loya,17,Jr.,WR,25,false,14,false,22,false,20,false,11,false,12,false,9,false,0,false
Le'Meke Brockington,00,Jr.,WR,53,false,19,false,53,false,44,false,41,false,44,false,55,false,41,false
Jameson Geers,86,Jr.,TE,60,false,17,false,51,false,33,false,34,false,43,false,38,false,21,false
Drew Biber,87,Jr.,TE,33,false,8,false,29,false,30,false,19,false,38,false,21,false,22,false
A.J. Turner,02,Jr.,HB,7,false,10,false,5,false,0,false,0,false,0,false,0,false,0,false
Dylan Ray,73,Jr.,T,80,false,31,false,73,false,61,false,34,false,66,false,59,false,53,false
Frank Bierman,44,Jr.,TE,17,false,8,false,18,false,15,false,11,false,13,false,18,false,12,false
Ashton Beers,78,Jr.,C,80,false,26,false,73,false,61,false,51,false,66,false,59,false,53,false
Javon Tracy,11,Jr.,WR,37,false,17,false,45,false,39,false,28,false,55,false,36,false,47,false
Greg Johnson,65,So.,G,80,false,26,false,73,false,61,false,51,false,66,false,59,false,53,false
Kenric Lanier II,15,So.,WR,28,false,39,false,7,false,19,false,12,false,7,false,17,false,9,false
Darius Taylor,01,So.,HB,63,false,4,false,0,false,0,false,15,false,56,false,47,false,3,false
Pierce Walsh,19,So.,TE,29,false,16,false,26,false,17,false,19,false,18,false,7,false,16,false
Drake Lindsey,05,Fr.,QB,80,false,26,false,73,false,61,false,51,false,66,false,59,false,53,false
Nathan Roy,50,Fr.,T,80,false,31,false,71,false,60,false,51,false,66,false,59,false,53,false
Koi Perich,D03,Fr.,S,7,false,4,false,3,false,0,false,0,false,0,false,0,false,0,false
Jalen Smith,08,Fr.,WR,31,false,15,false,35,false,26,false,32,false,30,false,16,false,6,false
Aluma Nkele,70,Jr.,T,0,false,33,false,0,false,0,false,0,false,0,false,0,false,0,false
Quentin Redding,81,Jr.,WR,0,false,6,false,0,false,0,false,0,false,0,false,0,false,0,false
Tony Nelson,59,Jr.,G,0,false,38,false,2,false,1,false,17,false,0,false,0,false,0,false
Malachi Coleman,16,So.,WR,0,false,33,false,0,false,0,false,0,false,4,false,18,false,34,false
Kahlee Tafai,71,So.,T,0,false,33,false,2,false,1,false,0,false,0,false,0,false,0,false
Donielle Hayes,18,So.,WR,0,false,2,false,0,false,0,false,0,false,0,false,0,false,3,false
Sam Peters,83,So.,TE,0,false,1,false,0,false,0,false,0,false,0,false,0,false,0,false
Max Shikenjanski,06,So.,QB,0,false,25,false,0,false,0,false,0,false,0,false,0,false,0,false
Dylan Wittke,14,So.,QB,0,false,13,false,0,false,0,false,0,false,0,false,0,false,0,false
Jaden Ball,58,Fr.,G,0,false,33,false,0,false,0,false,0,false,0,false,0,false,0,false
Fame Ijeboi,07,Fr.,HB,0,false,12,false,26,false,32,false,22,false,8,false,11,false,30,false
Julian Johnson,82,Fr.,TE,0,false,28,false,0,false,0,false,0,false,0,false,0,false,0,false
Jacob Simpson,88,Fr.,TE,0,false,29,false,0,false,0,false,0,false,0,false,0,false,0,false
Brett Carroll,56,Fr.,C,0,false,38,false,0,false,0,false,0,false,0,false,0,false,0,false
Xavier Ford,31,Fr.,HB,0,false,4,false,0,false,0,false,0,false,0,false,0,false,8,false
Grant Washington,21,Fr.,HB,0,false,27,false,0,false,0,false,0,false,0,false,0,false,1,false
