Player,#,POS,Games,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Cam Davis,23,HB,2,8,8,0,0,0,0,0
Aluma Nkele,70,T,7,35,0,0,0,0,0,35
Derik LeCaptain,D35,LB,7,150,29,38,27,31,25,0
Rushawn Lawrence,D16,DI,7,25,0,0,3,0,22,0
Jeff Roberson,D20,LB,6,40,5,33,2,0,0,0
Jai'Onte' McMillan,D24,CB,6,40,0,27,8,2,3,0
Lucas Finnessy,D46,ED,3,9,0,0,8,0,1,0
Jalen Logan-Redding,D97,DI,5,10,0,0,4,0,6,0
Marcellus Marshall,74,G,7,33,0,0,0,0,0,33
Logan Loya,17,WR,4,7,0,0,3,4,0,0
Quentin Redding,81,WR,3,5,1,0,2,2,0,0
Jameson Geers,86,TE,7,91,28,0,0,30,0,33
Darius Green,D12,S,2,2,0,0,2,0,0,0
Devon Williams,D09,LB,6,63,0,0,5,30,28,0
Nate Becker,D89,DI,6,41,0,0,3,1,7,30
Deven Eastern,D91,DI,6,25,0,0,4,0,21,0
Drew Biber,87,TE,5,25,21,0,0,2,0,2
Dylan Ray,73,T,7,35,0,0,0,0,0,35
Tony Nelson,59,G,1,5,0,0,0,0,0,5
Maverick Baranowski,D06,LB,6,40,0,0,6,11,23,0
Anthony Smith,D00,ED,6,31,0,0,5,0,26,0
Frank Bierman,44,TE,7,61,28,0,0,0,0,33
Rhyland Kelly,D18,CB,7,69,24,32,12,1,0,0
Evan Redding,D22,CB,6,31,0,21,10,0,0,0
Ashton Beers,78,C,7,32,0,0,0,0,0,32
Joey Gerlach,D19,LB,7,118,29,27,27,31,4,0
Aidan Gousby,D07,S,4,19,0,6,5,0,8,0
Brady Denaburg,S92,K,7,68,0,35,0,0,0,33
John Nestor,D17,CB,6,51,0,0,25,1,25,0
Jaxon Howard,D01,ED,7,43,0,0,23,0,20,0
Kerry Brown,D14,S,7,42,0,0,21,0,21,0
Za'Quan Bryan,D04,CB,7,56,0,0,31,0,25,0
Greg Johnson,65,G,7,32,0,0,0,0,0,32
Matt Kingsbury,D49,LB,7,128,29,38,29,31,1,0
Kenric Lanier II,15,WR,2,3,0,0,0,3,0,0
Karter Menz,D11,ED,4,9,0,0,0,0,9,0
Garrison Monroe,D23,S,3,50,9,20,16,5,0,0
Reese Tripp,76,G,1,3,0,0,0,0,0,3
Pierce Walsh,19,TE,1,3,1,0,0,0,0,2
Jerome Williams,55,G,1,3,0,0,0,0,0,3
Jaylen Bowden,D05,CB,2,2,0,0,2,0,0,0
Mike Gerald,D13,CB,2,4,0,0,1,0,3,0
Jacob Simpson,88,TE,7,29,29,0,0,0,0,0
Harrison Brun,D33,S,1,3,1,2,0,0,0,0
Mason Carrier,D48,LB,7,126,29,38,28,31,0,0
Brett Carroll,56,C,1,2,0,0,0,0,0,2
Adam Kissayi,D98,ED,1,1,0,0,0,0,1,0
Koi Perich,D03,S,7,88,28,0,32,0,28,0
Simon Seidl,D27,CB,6,46,0,10,11,25,0,0
Alan Soukup,S80,LS,7,66,0,0,0,31,0,35
Naiim Parrish,D21,CB,1,1,0,0,1,0,0,0
Emmanuel Karmo,D02,LB,6,34,0,31,3,0,0,0
Daniel Jackson,S36,K,1,5,0,3,0,0,0,2
Nate Cleveland,D53,LB,2,17,0,10,4,3,0,0
Ethan Stendel,D43,LB,5,66,20,18,8,20,0,0
Zack Harden,D26,S,4,29,0,11,3,15,0,0
Tre Berry,22,HB,2,17,0,17,0,0,0,0
Tom Weston,S42,P,7,67,0,1,0,31,0,35
