Player,#,POS,Games,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Riley Van Poppel,D05,DI,3,10,0,0,0,0,10,0
Kahmir Prescott,D19,CB,2,15,6,0,15,0,0,0
Caleb Benning,D28,S,3,42,8,17,16,0,1,0
Derek Wacker,D42,LB,4,38,11,27,0,0,0,0
Mekhi Nelson,35,HB,2,10,0,10,0,0,0,0
Jeremiah Charles,D25,CB,5,60,0,27,23,9,1,0
Rex Guthrie,D21,S,5,49,11,13,18,0,7,0
Derek Branch,D24,S,5,75,13,28,24,10,0,0
Dylan Rogers,D52,ED,4,15,15,0,0,0,0,0
Kevin Gallic,S46,LS,5,43,0,0,0,10,0,33
Marques Buford Jr.,D03,S,3,13,0,1,3,1,8,0
Vincent Genatone,30,HB,5,75,15,26,24,10,0,0
Michael Booker III,D43,LB,5,69,15,27,20,6,1,0
Brice Turner,D26,CB,5,75,15,27,23,10,0,0
Cayden Echternach,48,TE,5,50,15,0,0,0,0,35
Jamir Conn,D13,CB,5,50,0,14,24,9,3,0
Kenneth Williams,32,HB,4,27,15,12,0,0,0,0
Pierce Mooberry,D56,LB,2,15,0,13,2,0,0,0
Gunnar Gottula,77,T,5,35,0,0,0,0,0,35
Tyler Knaak,75,T,5,35,0,0,0,0,0,35
Jason Maciejczak,76,G,4,29,0,0,0,0,0,29
Dylan Parrott,D99,DI,5,36,0,0,0,0,1,35
Mason Goldman,D86,ED,5,35,0,0,0,0,0,35
Sam Sledge,62,G,3,23,0,0,0,0,0,23
Elijah Pritchett,57,T,4,25,0,0,0,0,0,25
Donovan Jones,D37,CB,4,30,4,1,14,1,10,0
Dane Key,06,WR,2,7,0,1,6,0,0,0
Caden VerMaas,D48,S,1,2,0,2,0,0,0,0
Henry Lutovsky,59,G,2,11,0,0,0,0,0,11
Rocco Spindler,50,G,1,6,0,0,0,0,0,6
Kyle Cunanan,S91,K,5,51,0,16,0,0,0,35
Carter Nelson,29,TE,4,19,2,1,6,10,0,0
Kamdyn Koch,S37,P,5,35,0,0,0,0,0,35
Grant Brix,06,T,1,9,0,0,0,0,0,9
Jacob Bower,D54,LB,4,53,13,18,12,10,0,0
Ceyair Wright,D01,CB,4,20,0,1,4,1,14,0
Andrew Marshall,D10,CB,4,18,0,5,0,0,13,0
Hayes Miller,81,WR,2,3,0,3,0,0,0,0
Izaac Dickey,45,HB,2,3,0,3,0,0,0,0
Jacory Barney Jr.,02,WR,4,20,0,1,19,0,0,0
Bryson Webber,D39,ED,2,4,0,3,1,0,0,0
Aidan Flege,S94,LS,2,2,0,0,0,0,0,2
Keelan Smith,85,WR,2,3,0,3,0,0,0,0
Thomas D'Onofrio,D38,CB,2,3,0,3,0,0,0,0
Rahmir Stewart,D59,S,2,3,0,3,0,0,0,0
Emmett Johnson,21,HB,2,3,0,3,0,0,0,0
Archie Wilson,S83,P,3,10,0,0,0,10,0,0
John Hohl,S90,K,3,13,0,13,0,0,0,0
Roman Mangini,26,WR,1,2,0,0,2,0,0,0
Javin Wright,D00,LB,4,13,0,0,0,0,13,0
Isaiah Mozee,22,WR,3,12,7,0,5,0,0,0
Vincent Shavers Jr.,D09,LB,4,10,0,0,0,0,10,0
Connor Schutt,D46,WR,1,2,0,2,0,0,0,0
Amare Sanders,D14,CB,2,2,0,2,0,1,0,0
DJ Singleton,84,WR,1,2,2,0,0,0,0,0
Malcolm Hartzog Jr.,D07,S,1,3,0,0,0,0,3,0
