Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week5_Snaps,Week5_Started
Vincent Shavers Jr.,D55,,MLB,57,true,45,true,38,true,62,true,52,true
DeShon Singleton,D26,,SS,57,true,45,true,38,true,62,true,52,true
Williams Nwaneri,D91,,DRE,45,true,35,true,28,true,48,true,40,true
Ty Robinson,D99,,DRT,45,true,35,true,28,true,48,true,40,true
Nash Hutmacher,D90,,DLE,45,true,35,true,28,true,48,true,40,true
Jimari Butler,D21,,LCB,57,true,45,true,38,true,62,true,52,true
Tommi Hill,D18,,RCB,57,true,45,true,38,true,62,true,52,true
Malcolm Hartzog Jr.,D23,,FS,57,true,45,true,38,true,62,true,52,true
John Bullock,D7,,LOLB,45,true,35,true,28,true,48,true,40,true
Stefon Thompson,D44,,ROLB,45,true,35,true,28,true,48,true,40,true
Riley Van Poppel,D95,,NT,35,true,25,false,20,false,35,true,28,false
Blaise Gunnerson,D92,,DRT,25,false,20,false,15,false,25,false,20,false
Maverick Noonan,D34,,MLB,25,false,20,false,15,false,25,false,20,false
Ceyair Wright,D5,,LCB,25,false,20,false,15,false,25,false,20,false
Isaac Gifford,D2,,FS,25,false,20,false,15,false,25,false,20,false
MJ Sherman,D8,,SS,25,false,20,false,15,false,25,false,20,false
Princewill Umanmielen,D96,,DLE,20,false,15,false,12,false,20,false,15,false
Javin Wright,D0,,RCB,20,false,15,false,12,false,20,false,15,false
Gunnar Gottschalk,D47,,LOLB,15,false,12,false,8,false,15,false,12,false
Hayden Moore,D31,,MLB,15,false,12,false,8,false,15,false,12,false
Koby Bretz,D25,,SS,15,false,12,false,8,false,15,false,12,false
Brice Turner,D17,,LCB,15,false,12,false,8,false,15,false,12,false
Cam'Ron Kelly,D24,,RCB,15,false,12,false,8,false,15,false,12,false
Dawson Merritt,D52,,MLB,10,false,8,false,5,false,10,false,8,false
Garrett Nelson,D9,,ROLB,10,false,8,false,5,false,10,false,8,false
Colton Feist,D45,,DRT,10,false,8,false,5,false,10,false,8,false
Zane Flores,D33,,FS,10,false,8,false,5,false,10,false,8,false
Marques Buford Jr.,D1,,LCB,8,false,5,false,3,false,8,false,5,false
Jahmal Banks,D4,,RCB,8,false,5,false,3,false,8,false,5,false
Eli Sanders,D37,,SS,8,false,5,false,3,false,8,false,5,false
Derek Branch,D22,,FS,5,false,3,false,2,false,5,false,3,false
Dae'vonn Hall,D11,,LOLB,5,false,3,false,2,false,5,false,3,false
Randolph Kpai,D98,,DLE,5,false,3,false,2,false,5,false,3,false
Kai Wallin,D39,,MLB,3,false,2,false,1,false,3,false,2,false
Terrance Knighton Jr.,D93,,NT,3,false,2,false,1,false,3,false,2,false
