Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week6_Snaps,Week6_Started
Turner Corcoran,69,Jr.,T,26,true,23,true,10,false,5,false,5,false
Heinrich Haarberg,10,Jr.,TE,27,true,23,true,20,true,18,false,19,false
Henry Lutovsky,59,Jr.,G,78,true,54,true,40,true,75,true,55,true
Teddy Prochazka,65,Jr.,T,78,true,54,true,40,true,75,true,0,false
Rocco Spindler,50,Jr.,G,78,true,54,true,40,true,75,true,55,true
Luke Lindenmeyer,44,So.,TE,64,true,51,true,36,true,68,true,53,true
Justin Evans,51,So.,C,78,true,54,true,40,true,75,true,55,true
Janiran Bonner,04,So.,TE,15,false,0,false,0,false,0,false,0,false
Emmett Johnson,21,So.,HB,69,true,37,true,36,true,66,true,49,true
Dane Key,06,Jr.,WR,64,true,45,true,22,true,67,true,37,true
Elijah Pritchett,57,So.,T,33,true,14,false,16,false,6,false,55,true
Gunnar Gottula,77,Fr.,T,23,true,38,true,34,true,69,true,55,true
Cameron Lenhardt,D11,So.,ED,2,false,1,false,0,false,0,false,0,false
Nyziah Hunter,13,Fr.,WR,63,true,43,true,32,true,66,true,40,true
Jacory Barney Jr.,02,Fr.,WR,48,true,30,true,18,false,47,true,40,true
Quinn Clark,18,Fr.,WR,11,false,10,false,31,true,8,false,7,false
Carter Nelson,29,Fr.,TE,5,false,14,false,26,true,0,false,2,false
Dylan Raiola,15,Fr.,QB,78,true,54,true,40,true,75,true,55,true
Mekhi Nelson,35,Fr.,HB,8,false,22,true,0,false,9,false,2,false
Cortez Mills Jr.,19,Fr.,WR,7,false,17,false,30,true,8,false,13,false
Isaiah Mozee,22,Fr.,WR,3,false,12,false,16,false,11,false,9,false
Tyler Knaak,75,So.,T,0,false,14,false,19,false,0,false,0,false
Roman Mangini,26,So.,WR,0,false,2,false,4,false,0,false,0,false
Cayden Echternach,48,Fr.,TE,0,false,3,false,12,false,1,false,0,false
Kwinten Ives,28,Fr.,HB,0,false,8,false,21,true,0,false,0,false
Brock Knutson,74,Fr.,G,0,false,5,false,14,false,0,false,0,false
Jason Maciejczak,76,Fr.,G,0,false,14,false,19,false,0,false,0,false
Sam Sledge,62,Fr.,G,0,false,14,false,16,false,0,false,0,false
Jacob Brandl,78,Fr.,G,0,false,5,false,11,false,0,false,0,false
Jalyn Gramstad,12,Jr.,QB,0,false,4,false,8,false,0,false,0,false
Rowdy Bauer,D36,Fr.,WR,0,false,2,false,2,false,0,false,0,false
Grant Brix,66,Fr.,T,0,false,5,false,0,false,0,false,0,false
Izaac Dickey,45,Fr.,HB,0,false,1,false,1,false,0,false,0,false
Eric Ingwerson,82,Fr.,TE,0,false,8,false,8,false,0,false,0,false
Danny King,49,Fr.,TE,0,false,3,false,0,false,0,false,0,false
Jake Peters,58,Fr.,C,0,false,14,false,19,false,0,false,0,false
Connor Schutt,D46,Fr.,WR,0,false,1,false,1,false,0,false,0,false
Keelan Smith,85,Fr.,WR,0,false,8,false,9,false,0,false,1,false
Bode Soukup,11,Fr.,QB,0,false,1,false,0,false,0,false,0,false
Preston Taumua,68,Fr.,T,0,false,5,false,14,false,0,false,0,false
Kenneth Williams,25,Fr.,HB,0,false,2,false,6,false,1,false,0,false
Marcos Davila,16,Fr.,QB,0,false,1,false,3,false,0,false,0,false
Hayes Miller,81,Fr.,WR,0,false,1,false,1,false,0,false,0,false
DJ Singleton,84,Fr.,WR,0,false,3,false,2,false,0,false,0,false
Shawn Hammerbeck,79,Fr.,T,0,false,2,false,11,false,0,false,0,false
Houston Ka'aha'aina-Torres,67,Fr.,C,0,false,3,false,11,false,0,false,0,false
Conor Booth,23,Fr.,HB,0,false,4,false,5,false,0,false,0,false
Jeremiah Jones,80,Fr.,WR,0,false,4,false,1,false,0,false,0,false
Jackson Carpenter,88,Fr.,WR,0,false,2,false,3,false,0,false,0,false
TJ Lateef,14,Fr.,QB,0,false,14,false,19,false,0,false,0,false
Vincent Genatone,30,So.,HB,0,false,0,false,1,false,0,false,1,false
Archie Wilson,S83,Fr.,P,0,false,0,false,1,false,0,false,1,false
Derek Branch,D24,Jr.,S,0,false,0,false,0,false,0,false,1,false
Michael Booker III,D43,Jr.,LB,0,false,0,false,0,false,0,false,1,false
Kevin Gallic,S46,Jr.,LS,0,false,0,false,0,false,0,false,1,false
Jeremiah Charles,D25,Fr.,CB,0,false,0,false,0,false,0,false,1,false
Brice Turner,D26,Fr.,CB,0,false,0,false,0,false,0,false,1,false
Jamir Conn,D13,So.,CB,0,false,0,false,0,false,0,false,1,false
Jacob Bower,D54,Fr.,LB,0,false,0,false,0,false,0,false,1,false
