Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week5_Snaps,Week5_Started
Dylan Raiola,15,*,QB,78,true,54,true,40,true,75,true,55,true
Heinrich Haarberg,10,,TER,27,false,23,false,20,false,18,false,19,false
TJ Lateef,14,,QB,,false,14,false,19,false,,false,,false
Jalyn Gramstad,12,,QB,,false,4,false,3,false,,false,,false
Marcos Davila,16,,QB,,false,1,false,3,false,,false,,false
Bode Soukup,11,,QB,,false,1,false,,false,,false,,false
Emmett Johnson,21,*,HB,69,true,37,true,36,true,66,true,49,true
Mekhi Nelson,35,,HB,8,false,22,false,,false,9,false,2,false
Kenneth Williams,32,,HB,,false,2,false,6,false,1,false,,false
Kwinten Ives,28,,HB,,false,8,false,21,false,,false,,false
Conor Booth,23,,HB,,false,4,false,5,false,,false,,false
Izaac Dickey,45,,HB,,false,1,false,1,false,,false,,false
Vincent Genatone,30,,HB,,false,,false,1,false,,false,1,false
Dane Key,06,*,RWR,64,true,45,true,22,true,67,true,37,true
Nyziah Hunter,13,*,LWR,63,true,43,true,32,true,66,true,40,true
Jacory Barney Jr.,02,*,SRWR,48,true,30,true,18,true,47,true,40,true
Quinn Clark,18,,LWR,11,false,10,false,31,false,8,false,7,false
Isaiah Mozee,22,,SRWR,3,false,12,false,16,false,11,false,9,false
Cortez Mills Jr.,19,,RWR,7,false,17,false,30,false,8,false,13,false
Roman Mangini,26,,LWR,,false,2,false,4,false,,false,,false
Jeremiah Jones,80,,RWR,,false,4,false,1,false,,false,,false
Luke Lindenmeyer,44,*,TER,64,true,51,true,36,true,68,true,53,true
Carter Nelson,29,,TER,5,false,14,false,26,false,,false,2,false
Janiran Bonner,04,,TEL,15,false,8,false,,false,,false,,false
Eric Ingwerson,82,,TEL,,false,8,false,8,false,,false,,false
Jake Peters,58,,C,,false,14,false,19,false,,false,,false
Justin Evans,51,*,C,78,true,54,true,40,true,75,true,55,true
Henry Lutovsky,59,*,LG,78,true,54,true,40,true,75,true,55,true
Jason Maciejczak,76,,LG,,false,14,false,19,false,,false,,false
Rocco Spindler,50,*,RG,78,true,54,true,40,true,75,true,55,true
Brock Knutson,74,,RG,,false,5,false,14,false,,false,,false
Sam Sledge,62,,RG,,false,14,false,16,false,,false,,false
Teddy Prochazka,65,*,RT,78,true,54,true,40,true,75,true,,false
Gunnar Gottula,77,*,LT,23,true,38,true,34,true,69,true,55,true
Elijah Pritchett,57,,LT,33,false,14,false,16,false,6,false,55,true
Turner Corcoran,69,,LT,26,false,5,false,10,false,5,false,5,false
Tyler Knaak,75,,RT,,false,14,false,19,false,,false,,false
Shawn Hammerbeck,79,,RT,,false,2,false,11,false,,false,,false
Houston Ka'aha'aina-Torres,67,,RG,,false,3,false,11,false,,false,,false
Hayes Miller,81,,RWR,,false,1,false,1,false,,false,,false
Preston Taumua,68,,LT,,false,5,false,14,false,,false,,false
Jacob Brandl,78,,LG,,false,1,false,11,false,,false,,false
Connor Schutt,D46,,RWR,,false,1,false,1,false,,false,,false
Rowdy Bauer,D36,,SRWR,,false,2,false,2,false,,false,,false
Cameron Lenhardt,D11,,FB,2,false,1,false,,false,,false,,false
DJ Singleton,84,,SRWR,,false,3,false,2,false,,false,,false
Cayden Echternach,48,,TER,,false,3,false,12,false,1,false,,false
Jackson Carpenter,88,,RWR,,false,2,false,3,false,,false,,false
Keelan Smith,85,,LWR,,false,8,false,9,false,,false,1,false
Danny King,49,,TEL,,false,3,false,,false,,false,,false
Grant Brix,66,,RT,,false,5,false,,false,,false,,false
Archie Wilson,S83,,HB,,false,,false,1,false,,false,1,false
Jacob Bower,D54,,,,false,,false,,false,,false,1,false
Jamir Conn,D13,,,,false,,false,,false,,false,1,false
Brice Turner,D26,,,,false,,false,,false,,false,1,false
Jeremiah Charles,D95,,,,false,,false,,false,,false,1,false
Kevin Gallic,S46,,,,false,,false,,false,,false,1,false
Michael Booker III,D43,,,,false,,false,,false,,false,1,false
Derek Branch,D24,,,,false,,false,,false,,false,1,false
