Player,#,POS,Games,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Ceyair Wright,D01,CB,4,20,0,1,4,1,14,0
Javin Wright,D00,LB,4,13,0,0,0,0,13,0
Marques Watson-Trent,D33,LB,3,5,0,0,0,0,5,0
Heinrich Haarberg,10,TE,3,13,1,0,0,12,0,0
Henry Lutovsky,59,G,2,11,0,0,0,0,0,11
Marques Buford Jr.,D03,S,4,21,1,8,3,1,8,0
Derek Branch,D24,S,5,94,18,35,29,12,0,0
Michael Booker III,D43,LB,5,87,19,34,25,8,1,0
Elijah Jeudy,D16,DI,4,13,0,0,0,0,13,0
Rocco Spindler,50,G,1,6,0,0,0,0,0,6
Dasan McCullough,D15,ED,4,12,0,0,0,0,12,0
Luke Lindenmeyer,44,TE,2,2,1,1,0,0,0,0
Malcolm Hartzog Jr.,D07,S,1,3,0,0,0,0,3,0
Gage Stenger,E47,LB,1,1,0,1,0,0,0,0
Janiran Bonner,04,TE,1,6,3,0,0,3,0,0
Emmett Johnson,21,HB,2,3,0,3,0,0,0,0
DeShon Singleton,D08,S,4,14,1,0,0,0,13,0
Dane Key,06,WR,3,8,1,1,6,0,0,0
Tyler Knaak,75,T,5,35,0,0,0,0,0,35
Vincent Genatone,30,HB,5,94,20,33,29,12,0,0
Jaylen George,D90,DI,2,2,0,0,0,0,2,0
Roman Mangini,26,WR,1,2,0,0,2,0,0,0
Dylan Parrott,D99,DI,5,36,0,0,0,0,1,35
Elijah Pritchett,57,T,4,25,0,0,0,0,0,25
Kevin Gallic,S46,LS,5,45,0,0,0,12,0,33
Tristan Alvano,S30,K,2,2,0,2,0,0,0,0
Jeremiah Charles,D25,CB,5,74,0,34,28,11,1,0
Cayden Echternach,48,TE,5,54,19,0,0,0,0,35
Mason Goldman,D86,ED,5,35,0,0,0,0,0,35
Gunnar Gottula,77,T,5,35,0,0,0,0,0,35
Sua Lefotu,D92,DI,1,1,0,0,0,0,1,0
Cameron Lenhardt,D11,ED,3,5,0,0,0,0,5,0
Jason Maciejczak,76,G,4,29,0,0,0,0,0,29
Dylan Rogers,D52,ED,5,19,19,0,0,0,0,0
Sam Sledge,62,G,3,23,0,0,0,0,0,23
Rahmir Stewart,D59,S,2,3,0,3,0,0,0,0
Brice Turner,D26,CB,5,88,19,34,23,12,0,0
Riley Van Poppel,D05,DI,3,10,0,0,0,0,10,0
Jamir Conn,D13,CB,5,58,1,14,29,11,3,0
Kyle Cunanan,S91,K,5,53,0,18,0,0,0,35
Justyn Rhett,D12,S,1,1,0,0,0,0,1,0
Andrew Marshall,D10,CB,4,18,0,5,0,0,13,0
Jacob Bower,D54,LB,4,65,18,18,17,12,0,0
Nyziah Hunter,13,WR,1,1,0,1,0,0,0,0
Jacory Barney Jr.,02,WR,5,26,1,1,24,0,0,0
Rowdy Bauer,D36,WR,2,3,0,3,0,0,0,0
Caleb Benning,D28,S,3,42,8,17,16,0,1,0
Grant Brix,66,T,1,9,0,0,0,0,0,9
Mario Buford,D31,CB,1,1,0,1,0,0,0,0
Thomas D'Onofrio,D38,CB,2,3,0,3,0,0,0,0
Izaac Dickey,45,HB,2,3,0,3,0,0,0,0
Rex Guthrie,D21,S,5,54,16,13,18,0,7,0
Donovan Jones,D37,CB,4,35,4,1,19,1,10,0
Kamdyn Koch,S37,P,5,35,0,0,0,0,0,35
Willis McGahee IV,D17,ED,1,2,0,0,0,0,2,0
Carter Nelson,29,TE,4,27,3,1,11,12,0,0
Jordan Ochoa,D94,ED,1,1,0,0,0,0,1,0
Preston Okafor,D34,CB,1,1,0,0,1,0,0,0
Kahmir Prescott,D19,CB,2,15,0,0,15,0,0,0
Amare Sanders,D14,CB,3,7,0,0,6,0,1,0
Connor Schutt,D46,WR,1,2,0,2,0,0,0,0
Vincent Shavers Jr.,D09,LB,4,10,0,0,0,0,10,0
Keelan Smith,85,WR,2,3,0,3,0,0,0,0
Preston Taumua,68,T,1,1,0,0,0,0,0,1
Trent Uhlir,O32,HB,1,1,0,1,0,0,0,0
Derek Wacker,D42,LB,5,54,15,34,5,0,0,0
Kenneth Williams,32,HB,5,38,19,19,0,0,0,0
Keona Davis,D97,DI,2,5,0,0,0,0,5,0
Aidan Flege,S94,LS,2,2,0,0,0,0,0,2
John Hohl,S90,K,4,18,0,18,0,0,0,0
Hayes Miller,81,WR,2,3,0,3,0,0,0,0
Mekhi Nelson,35,HB,3,17,0,17,0,0,0,0
DJ Singleton,84,WR,1,2,2,0,0,0,0,0
Williams Nwaneri,D96,ED,4,8,0,0,0,0,8,0
Archie Wilson,S83,P,3,12,0,0,0,12,0,0
Conor Booth,23,HB,2,4,0,4,0,0,0,0
Dawson Merritt,D40,LB,1,1,0,0,0,0,1,0
Caden VerMaas,D48,S,1,2,0,2,0,0,0,0
Pierce Mooberry,D56,LB,3,22,0,20,2,0,0,0
Bryson Webber,D39,ED,2,4,0,3,1,0,0,0
Isaiah Mozee,22,WR,4,16,11,0,5,0,0,0
Tanner Terch,D41,S,2,3,0,3,0,0,0,0
