Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week5_Snaps,Week5_Started,Week6_Snaps,Week6_Started
Richie Hagarty,D52,Jr.,DRE,30,TRUE,19,FALSE,20,TRUE,36,TRUE,21,TRUE
Fred Davis II,D02,Jr.,RCB,74,TRUE,35,TRUE,55,TRUE,57,TRUE,37,TRUE
Tyler Gant,D54,So.,NT,22,TRUE,18,FALSE,14,FALSE,16,FALSE,18,FALSE
Garner Wallace,D18,Jr.,FS,73,TRUE,38,TRUE,7,FALSE,58,TRUE,40,TRUE
Mac Uihlein,D37,Jr.,MLB,76,TRUE,38,TRUE,57,TRUE,59,TRUE,40,TRUE
Aidan Hubbard,D91,Jr.,DRE,48,TRUE,26,TRUE,36,TRUE,40,TRUE,21,TRUE
Najee Story,D95,Jr.,NT,42,TRUE,19,FALSE,34,TRUE,19,FALSE,14,FALSE
Carmine Bastone,D01,Jr.,NT,47,TRUE,23,TRUE,36,TRUE,36,TRUE,19,FALSE
Yannis Karlaftis,D14,Jr.,MLB,30,TRUE,13,FALSE,16,FALSE,4,FALSE,5,FALSE
Braydon Brus,D33,Jr.,MLB,76,TRUE,38,TRUE,57,TRUE,59,TRUE,40,TRUE
Robert Fitzgerald,D06,Jr.,FS,76,TRUE,38,TRUE,57,TRUE,59,TRUE,40,TRUE
Brendan Flakes,D15,Jr.,NT,33,TRUE,17,FALSE,27,TRUE,31,TRUE,20,TRUE
Anto Saka,D04,Jr.,DRE,37,TRUE,20,TRUE,26,TRUE,31,TRUE,19,FALSE
Evan Smith,D12,Jr.,RCB,11,FALSE,13,FALSE,0,FALSE,3,FALSE,18,FALSE
Braden Turner,D09,Jr.,RCB,46,TRUE,29,TRUE,28,TRUE,43,TRUE,21,TRUE
Jack Sadowsky V,D45,So.,MLB,2,FALSE,13,FALSE,1,FALSE,0,FALSE,15,FALSE
Josh Fussell,D13,So.,RCB,64,TRUE,38,TRUE,23,TRUE,0,FALSE,0,FALSE
Michael Kilbane,D47,So.,DRE,34,TRUE,26,TRUE,31,TRUE,26,TRUE,27,TRUE
Callen Campbell,D44,Fr.,DRE,9,FALSE,11,FALSE,6,FALSE,1,FALSE,19,FALSE
Troy Regovich,D99,Fr.,NT,3,FALSE,7,FALSE,0,FALSE,0,FALSE,4,FALSE
Jon Stevens Jr.,D29,Fr.,FS,4,FALSE,13,FALSE,50,TRUE,0,FALSE,15,FALSE
Mason Green,D92,So.,DRE,0,FALSE,6,FALSE,0,FALSE,0,FALSE,0,FALSE
Ore Adeyi,D07,Jr.,RCB,0,FALSE,16,FALSE,33,TRUE,58,TRUE,40,TRUE
Dillon Tatum,D08,Jr.,RCB,0,FALSE,12,FALSE,13,FALSE,12,FALSE,29,TRUE
Jalen Lewis,D26,So.,FS,0,FALSE,10,FALSE,0,FALSE,0,FALSE,0,FALSE
Jack Trautmann,D59,Fr.,DRE,0,FALSE,5,FALSE,0,FALSE,0,FALSE,7,FALSE
Alijah Jones,D00,Fr.,FS,0,FALSE,13,FALSE,0,FALSE,0,FALSE,15,FALSE
Mason Mayne,D56,Fr.,NT,0,FALSE,7,FALSE,0,FALSE,0,FALSE,18,FALSE
Drew Wagner,D19,Fr.,WR,0,FALSE,0,FALSE,0,FALSE,1,FALSE,0,FALSE
Payton Roth,D34,So.,MLB,0,FALSE,0,FALSE,0,FALSE,0,FALSE,15,FALSE
Marquet Dorsey Jr.,D25,Fr.,FS,0,FALSE,0,FALSE,0,FALSE,0,FALSE,15,FALSE
Caden O'Rourke,D93,Fr.,DRE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,13,FALSE
