Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week5_Snaps,Week5_Started,Week6_Snaps,Week6_Started
Evan Beerntsen,60,Jr.,G,64,true,67,true,60,true,62,true,63,true
Preston Stone,08,Jr.,QB,64,true,66,true,60,true,62,true,63,true
Alex Lines,88,Jr.,TE,17,false,20,true,13,false,20,true,15,false
Martes Lewis,75,Jr.,T,12,false,39,true,30,true,62,true,36,true
Cam Porter,04,Jr.,HB,27,true,32,true,0,false,0,false,0,false
Hunter Welcing,84,Jr.,TE,19,false,24,true,23,true,29,true,25,true
Jackson Carsello,65,Jr.,C,64,true,66,true,60,true,62,true,63,true
Caleb Tiernan,72,Jr.,T,64,true,67,true,60,true,62,true,63,true
Lawson Albright,86,Jr.,TE,31,true,49,true,27,true,38,true,36,true
Joseph Himon II,06,Jr.,HB,24,true,14,false,26,true,23,true,26,true
Deuce McGuire,73,Jr.,T,52,true,32,true,31,true,0,false,33,true
Blake Van Buren,83,Jr.,TE,13,false,17,false,23,true,18,false,7,false
Frank Covey IV,03,So.,WR,52,true,0,false,39,true,14,false,24,true
Ricky Ahumaraeze,10,So.,WR,50,true,44,true,23,true,13,false,17,false
Caleb Komolafe,05,So.,HB,17,false,23,true,33,true,36,true,28,true
Griffin Wilde,17,So.,WR,51,true,41,true,35,true,37,true,49,true
Chase Farrell,20,Fr.,WR,9,false,16,false,0,false,1,false,15,false
Carson Grove,87,Fr.,WR,10,false,12,false,15,false,0,false,10,false
Ezomo Oratokhai,62,Fr.,G,64,true,67,true,60,true,62,true,63,true
Xavior Gray,63,Jr.,T,0,false,7,false,0,false,0,false,12,false
Luke Akers,S11,Jr.,P,0,false,1,false,0,false,0,false,0,false
Nick Herzog,74,Jr.,G,0,false,7,false,0,false,0,false,12,false
Chris Petrucci,81,Jr.,TE,0,false,6,false,0,false,0,false,4,false
Anthony Birsa,64,So.,G,0,false,8,false,0,false,0,false,10,false
Henry Helms,S94,So.,K,0,false,1,false,0,false,0,false,0,false
Hayden Eligon II,80,Fr.,WR,0,false,36,true,29,true,41,true,47,true
Talan Chandler,50,Fr.,C,0,false,4,false,0,false,0,false,2,false
Ryan Boe,02,Fr.,QB,0,false,7,false,0,false,2,false,12,false
Idrys Cotton,77,Fr.,G,0,false,3,false,0,false,0,false,12,false
Jack Florentine,S39,Fr.,LS,0,false,1,false,0,false,0,false,0,false
Dennis Rahouski,71,Fr.,T,0,false,4,false,0,false,0,false,6,false
Dashun Reeder,24,Fr.,HB,0,false,4,false,1,false,0,false,13,false
Patrick Schaller,85,Fr.,TE,0,false,6,false,0,false,0,false,13,false
Drew Wagner,19,Fr.,WR,0,false,20,true,12,false,33,true,36,true
Daniel Anderson,27,Fr.,HB,0,false,3,false,0,false,0,false,3,false
Robby Preckel,41,Fr.,TE,0,false,0,false,0,false,5,false,7,false
