Player,#,POS,Games,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Richie Hagarty,D52,ED,5,12,0,0,3,0,9,0
Evan Beerntsen,60,G,5,19,0,0,0,0,0,19
Fred Davis II,D02,CB,5,34,0,0,17,1,16,0
Tyler Gant,D54,DI,2,3,0,0,1,0,2,0
Alex Lines,88,TE,1,1,1,0,0,0,0,0
Mason Green,D92,ED,1,1,0,0,0,0,1,0
Liam Reardon,S49,LS,5,13,0,0,0,13,0,0
Jack Olsen,S82,K,4,14,0,0,0,0,0,14
Martes Lewis,75,T,5,19,0,0,0,0,0,19
Hunter Welcing,84,TE,5,25,2,6,4,13,0,0
Luke Akers,S11,P,5,33,0,15,0,13,0,5
Caleb Tiernan,72,T,4,13,0,0,0,0,0,13
Lawson Albright,86,TE,5,51,19,0,0,13,0,19
Garner Wallace,D18,S,5,42,0,22,4,6,10,0
Mac Uihlein,D37,LB,5,28,0,0,4,8,16,0
Aidan Hubbard,D91,ED,5,12,0,0,3,0,9,0
Najee Story,D95,DI,4,10,0,0,1,0,9,0
Carmine Bastone,D01,DI,5,12,0,0,2,0,10,0
Ore Adeyi,D07,CB,4,23,0,0,8,6,9,0
Yannis Karlaftis,D14,LB,5,65,18,17,14,0,16,0
Dillon Tatum,D08,CB,5,46,0,23,17,6,0,0
Braydon Brus,D33,LB,5,33,0,0,4,13,16,0
Miles Crutchley,D51,LB,1,1,0,1,0,0,0,0
Robert Fitzgerald,D06,S,5,32,0,0,4,12,16,0
Brendan Flakes,D15,DI,5,13,0,0,1,0,12,0
Nick Herzog,74,G,1,5,0,0,0,0,0,5
Joseph Himon II,06,HB,5,19,19,0,0,0,0,0
Deuce McGuire,73,T,4,15,0,0,0,0,0,15
Jack Oyola,D27,CB,1,1,0,1,0,0,0,0
Chris Petrucci,81,TE,5,27,20,0,7,0,0,0
Jason Reynolds II,D40,LB,2,4,0,2,0,0,2,0
Anto Saka,D04,ED,4,8,0,0,4,0,4,0
Evan Smith,D12,CB,5,31,0,10,8,12,1,0
Braden Turner,D09,CB,3,7,0,4,3,0,0,0
Blake Van Buren,83,TE,4,18,18,0,0,0,0,0
Camp Magee,18,TE,1,1,0,1,0,0,0,0
Jack Sadowsky V,D45,LB,5,48,2,23,17,5,1,0
Nigel Glover,D42,LB,4,37,8,16,13,0,0,0
Ricky Ahumaraeze,10,WR,3,10,0,6,0,4,0,0
Anthony Birsa,64,G,5,19,0,0,0,0,0,19
Josh Fussell,D13,CB,3,17,0,0,10,0,7,0
Henry Helms,S94,K,5,27,0,8,0,0,0,19
Michael Kilbane,D47,ED,4,12,0,0,4,0,8,0
Caleb Komolafe,05,HB,1,2,0,0,0,2,0,0
Jalen Lewis,D26,S,3,13,0,2,11,0,0,0
Payton Roth,D34,LB,5,58,18,20,19,1,0,0
Cole Shivers,D23,CB,3,5,0,3,2,0,0,0
Callen Campbell,D44,ED,5,33,18,0,1,13,1,0
Terrion Curry-Hicks,D22,S,3,3,0,2,1,0,0,0
Hayden Eligon II,80,WR,3,14,12,0,2,0,0,0
Troy Regovich,D99,DI,2,5,0,0,0,0,1,4
Chase Farrell,20,WR,2,3,1,0,2,0,0,0
Idrys Cotton,77,G,1,1,0,0,0,0,0,1
Tate Crane,35,WR,2,6,1,1,4,0,0,0
Jack Florentine,S39,LS,5,19,0,0,0,0,0,19
Ezomo Oratokhai,62,G,5,18,0,0,0,0,0,18
Dennis Rahouski,71,T,1,1,0,0,0,0,0,1
Dashun Reeder,24,HB,4,31,0,17,13,1,0,0
Cam Russell,89,WR,2,4,2,0,2,0,0,0
Patrick Schaller,85,TE,5,37,18,0,0,0,0,19
Jack Trautmann,D59,ED,1,1,0,0,1,0,0,0
Drew Wagner,19,WR,5,41,20,0,21,0,0,0
Tito Williams Jr.,D31,S,2,2,0,0,2,0,0,0
Alijah Jones,D00,S,4,18,0,13,4,0,1,0
Jon Stevens Jr.,D29,S,5,57,14,24,11,1,7,0
Robby Preckel,41,TE,4,21,3,18,0,0,0,0
Josh Veldman,D38,LB,3,11,0,11,0,0,0,0
Marquet Dorsey Jr.,D25,S,3,17,6,7,3,0,1,0
Nikola Dugandzic,S92,P,1,2,0,2,0,0,0,0
Caden O'Rourke,D93,ED,1,1,0,0,1,0,0,0
Mason Mayne,D56,DI,2,2,0,0,0,0,2,0
