Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week5_Snaps,Week5_Started,Week7_Snaps,Week7_Started
Jadon Canady,D22,Jr.,CB,23,FALSE,27,FALSE,22,FALSE,21,FALSE,27,FALSE,60,FALSE
Bear Alexander,D01,Jr.,DI,21,FALSE,25,FALSE,28,FALSE,21,FALSE,33,FALSE,50,FALSE
Devon Jackson,D26,Jr.,LB,32,FALSE,30,FALSE,37,FALSE,24,FALSE,30,FALSE,40,FALSE
Bryce Boettcher,D28,Jr.,LB,29,FALSE,32,FALSE,35,FALSE,45,FALSE,53,FALSE,65,FALSE
Zach Grisham,D24,Jr.,CB,9,FALSE,19,FALSE,9,FALSE,0,FALSE,0,FALSE,0,FALSE
Jerry Mixon,D54,So.,LB,29,FALSE,21,FALSE,34,FALSE,25,FALSE,30,FALSE,36,FALSE
Teitum Tuioti,D44,So.,ED,32,FALSE,31,FALSE,38,FALSE,32,FALSE,57,FALSE,65,FALSE
Solomon Davis,D15,So.,S,10,FALSE,19,FALSE,10,FALSE,0,FALSE,0,FALSE,0,FALSE
Matayo Uiagalelei,D10,So.,ED,36,FALSE,29,FALSE,38,FALSE,34,FALSE,60,FALSE,68,FALSE
Dillon Thieneman,D31,So.,S,29,FALSE,30,FALSE,41,FALSE,35,FALSE,60,FALSE,72,FALSE
Daylen Austin,D00,So.,CB,16,FALSE,17,FALSE,13,FALSE,14,FALSE,4,FALSE,0,FALSE
Terrance Green,D99,So.,DI,22,FALSE,18,FALSE,22,FALSE,17,FALSE,13,FALSE,12,FALSE
Ashton Porter,D29,So.,ED,20,FALSE,25,FALSE,20,FALSE,17,FALSE,7,FALSE,3,FALSE
Blake Purchase,D09,So.,ED,25,FALSE,18,FALSE,32,FALSE,23,FALSE,26,FALSE,24,FALSE
A'Mauri Washington,D52,So.,DI,32,FALSE,32,FALSE,33,FALSE,32,FALSE,53,FALSE,67,FALSE
Aydin Breland,D42,Fr.,DI,7,FALSE,8,FALSE,10,FALSE,7,FALSE,12,FALSE,2,FALSE
Dakoda Fields,D11,Fr.,CB,10,FALSE,19,FALSE,12,FALSE,0,FALSE,0,FALSE,0,FALSE
Aaron Flowers,D21,Fr.,S,35,FALSE,28,FALSE,29,FALSE,27,FALSE,53,FALSE,72,FALSE
Tionne Gray,D50,Fr.,DI,26,FALSE,18,FALSE,20,FALSE,16,FALSE,11,FALSE,7,FALSE
Sione Laulea,D03,Jr.,CB,21,FALSE,21,FALSE,0,FALSE,23,FALSE,16,FALSE,14,FALSE
Kingston Lopa,D02,Fr.,S,24,FALSE,15,FALSE,21,FALSE,22,FALSE,7,FALSE,0,FALSE
Kamar Mothudi,D33,Fr.,LB,10,FALSE,10,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE
Elijah Rushing,D47,Fr.,ED,19,FALSE,21,FALSE,11,FALSE,5,FALSE,0,FALSE,0,FALSE
Ify Obidegwu,D07,Fr.,CB,31,FALSE,25,FALSE,29,FALSE,21,FALSE,19,FALSE,22,FALSE
Peyton Woodyard,D12,Fr.,S,20,FALSE,32,FALSE,19,FALSE,14,FALSE,4,FALSE,3,FALSE
Gavin Nix,D13,Fr.,LB,15,FALSE,15,FALSE,6,FALSE,0,FALSE,0,FALSE,0,FALSE
Brandon Finney Jr.,D04,Fr.,CB,24,FALSE,22,FALSE,32,FALSE,23,FALSE,53,FALSE,63,FALSE
Nasir Wyatt,D32,Fr.,ED,3,FALSE,3,FALSE,1,FALSE,3,FALSE,0,FALSE,2,FALSE
Matthew Johnson,D55,Fr.,DI,7,FALSE,13,FALSE,5,FALSE,0,FALSE,0,FALSE,0,FALSE
Na'eem Offord,D14,Fr.,CB,32,FALSE,18,FALSE,25,FALSE,11,FALSE,0,FALSE,0,FALSE
Jahlil Florence,D06,Jr.,CB,0,FALSE,19,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Cruz Rushing,D34,Jr.,S,0,FALSE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Will Straton,D38,So.,LB,0,FALSE,11,FALSE,5,FALSE,0,FALSE,0,FALSE,0,FALSE
Xadavien Sims,D88,Fr.,DI,0,FALSE,8,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Theran Johnson,D05,Jr.,CB,0,FALSE,0,FALSE,22,FALSE,20,FALSE,32,FALSE,45,FALSE
Jericho Johnson,D77,Fr.,DI,0,FALSE,0,FALSE,0,FALSE,6,FALSE,0,FALSE,0,FALSE
Dylan Williams,D20,Fr.,LB,0,FALSE,0,FALSE,0,FALSE,1,FALSE,0,FALSE,0,FALSE
