Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week5_Snaps,Week5_Started,Week7_Snaps,Week7_Started
Matthew Bedford,77,Jr.,G,28,true,14,false,13,false,7,false,0,false,0,false
Noah Whittington,06,Jr.,HB,24,true,10,false,0,false,0,false,24,true,26,true
Emmanuel Pregnon,75,Jr.,G,12,false,47,true,44,true,72,true,80,true,65,true
Gary Bryant Jr.,02,Jr.,WR,24,true,24,true,25,true,53,true,58,true,57,true
Charlie Pickard,70,Jr.,C,14,false,15,false,13,false,7,false,0,false,0,false
Justius Lowe,14,Jr.,WR,13,false,23,true,0,false,0,false,0,false,3,false
Alex Harkey,71,Jr.,T,54,true,51,true,44,true,73,true,80,true,65,true
Isaiah World,76,Jr.,T,54,true,48,true,44,true,73,true,80,true,65,true
Makhi Hughes,20,Jr.,HB,12,false,15,false,5,false,10,false,0,false,0,false
Dave Iuli,74,Jr.,G,62,true,56,true,44,true,73,true,80,true,65,true
Kyler Kasper,03,Jr.,WR,21,true,20,true,16,false,8,false,0,false,0,false
Kawika Rogers,73,Jr.,G,16,false,0,false,13,false,6,false,0,false,0,false
Malik Benson,04,Jr.,WR,29,true,20,true,30,true,28,true,52,true,15,false
Dante Moore,05,So.,QB,48,true,47,true,44,true,73,true,80,true,65,true
Gernorris Wilson,78,So.,T,18,false,16,false,17,false,8,false,5,false,2,false
Iapani Laloulu,72,So.,C,48,true,47,true,44,true,73,true,80,true,65,true
Jayden Limar,27,So.,HB,4,false,23,true,28,true,34,true,41,true,14,false
Kenyon Sadiq,18,So.,TE,43,true,46,true,38,true,51,true,66,true,54,true
Austin Novosad,16,So.,QB,6,false,0,false,0,false,0,false,0,false,0,false
Jamari Johnson,09,So.,TE,23,true,18,false,25,true,36,true,33,true,25,true
Zach Grace,44,So.,TE,10,false,6,false,3,false,9,false,1,false,1,false
Lipe Moala,79,So.,G,4,false,6,false,0,false,0,false,0,false,0,false
Brock Thomas,12,So.,QB,4,false,4,false,8,false,6,false,0,false,0,false
Trent Ferguson,56,Fr.,T,8,false,5,false,6,false,6,false,0,false,0,false
Jay Harris,22,Jr.,HB,6,false,12,false,7,false,7,false,1,false,1,false
Jeremiah McClellan,11,Fr.,WR,20,true,26,true,20,true,35,true,10,false,36,true
Luke Moga,10,Fr.,QB,8,false,14,false,6,false,0,false,0,false,0,false
Roger Saleapaga,83,Fr.,TE,11,false,12,false,10,false,12,false,3,false,2,false
Brady Bidwell,89,Fr.,WR,4,false,2,false,0,false,0,false,0,false,0,false
Devin Brooks,53,Fr.,C,4,false,4,false,0,false,0,false,0,false,0,false
Kade Caton,85,Fr.,T,7,false,1,false,0,false,1,false,0,false,0,false
Fox Crader,59,Fr.,T,4,false,6,false,7,false,0,false,0,false,0,false
Da'Jaun Riggs,21,Fr.,HB,8,false,4,false,6,false,6,false,0,false,0,false
Dierre Hill Jr.,23,Fr.,HB,11,false,5,false,7,false,13,false,15,false,7,false
Jordon Davison,00,Fr.,HB,10,false,4,false,11,false,30,true,22,true,25,true
Demetri Manning,50,Fr.,G,4,false,4,false,0,false,0,false,0,false,0,false
Cooper Perry,17,Fr.,WR,16,false,26,true,18,false,11,false,0,false,0,false
Ziyare Addison,58,Fr.,T,4,false,4,false,0,false,0,false,0,false,0,false
Douglas Utu,55,Fr.,G,3,false,5,false,0,false,1,false,0,false,0,false
Dakorien Moore,01,Fr.,WR,27,true,27,true,31,true,50,true,69,true,56,true
Luke Basso,S43,Jr.,LS,0,false,1,false,0,false,1,false,0,false,0,false
Atticus Sappington,S36,Jr.,K,0,false,1,false,0,false,0,false,0,false,0,false
James Ferguson-Reynolds,S46,Jr.,P,0,false,1,false,0,false,1,false,0,false,0,false
Darrian Anderson,86,Jr.,WR,0,false,2,false,0,false,0,false,0,false,0,false
Zac Stascausky,57,Fr.,T,0,false,4,false,0,false,0,false,0,false,0,false
Jadon Canady,D22,Jr.,CB,0,false,0,false,0,false,1,false,0,false,0,false
Bryce Boettcher,D28,Jr.,LB,0,false,0,false,0,false,1,false,0,false,0,false
Teitum Tuioti,D44,So.,ED,0,false,0,false,0,false,1,false,0,false,0,false
Matayo Uiagalelei,D10,So.,ED,0,false,0,false,0,false,1,false,0,false,0,false
Dillon Thieneman,D31,So.,S,0,false,0,false,0,false,1,false,0,false,0,false
Daylen Austin,D00,So.,CB,0,false,0,false,0,false,1,false,0,false,0,false
Evan Stewart,07,Jr.,WR,0,false,0,false,0,false,0,false,0,false,1,false
