Player,#,POS,Games,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Noah Whittington,06,HB,4,16,16,0,0,0,0,0
Kilohana Haasenritter,D25,S,2,2,0,2,0,0,0,0
Emmanuel Pregnon,75,G,1,5,0,0,0,0,0,5
Gary Bryant Jr.,02,WR,6,33,1,0,32,0,0,0
Jadon Canady,D22,CB,6,47,0,19,3,12,13,0
Theran Johnson,D05,CB,3,10,0,2,0,0,8,0
Charlie Pickard,70,C,6,54,0,0,0,12,0,42
Luke Basso,S43,LS,6,54,0,0,0,12,0,42
Atticus Sappington,S36,K,6,66,0,31,0,0,0,35
Bear Alexander,D01,DI,1,1,0,0,1,0,0,0
James Ferguson-Reynolds,S46,P,6,52,0,0,0,12,0,40
Justius Lowe,14,WR,1,1,0,0,1,0,0,0
Devon Jackson,D26,LB,6,32,21,0,2,0,9,0
Jahlil Florence,D06,CB,2,10,0,8,2,0,0,0
Alex Harkey,71,T,3,25,0,0,0,0,0,25
Isaiah World,76,T,6,42,0,0,0,0,0,42
Makhi Hughes,20,HB,3,23,3,0,20,0,0,0
Bryce Boettcher,D28,LB,6,31,1,3,1,12,14,0
Zach Grisham,D24,CB,4,26,0,22,1,0,3,0
Dave Iuli,74,G,6,42,0,0,0,0,0,42
Ross James,S92,P,1,2,0,0,0,0,0,2
Kyler Kasper,03,WR,3,7,7,0,0,0,0,0
Kawika Rogers,73,G,1,4,0,0,0,0,0,4
Malik Benson,04,WR,4,15,15,0,0,0,0,0
Jerry Mixon,D54,LB,6,50,22,16,6,0,6,0
Teitum Tuioti,D44,ED,5,15,2,0,2,10,1,0
Will Straton,D38,LB,4,35,0,22,12,0,1,0
Solomon Davis,D15,S,6,41,2,34,3,0,2,0
Matayo Uiagalelei,D10,ED,6,31,1,0,3,12,15,0
Gernorris Wilson,78,T,5,37,0,0,0,0,0,37
Iapani Laloulu,72,C,3,17,0,0,0,0,0,17
Jayden Limar,27,HB,6,60,22,14,24,0,0,0
Kenyon Sadiq,18,TE,5,47,10,0,0,7,0,30
Jamari Johnson,09,TE,6,24,12,0,0,0,0,12
Dillon Thieneman,D31,S,6,30,1,0,3,12,14,0
Daylen Austin,D00,CB,6,79,12,30,30,7,0,0
Xavier Barksdale,D30,CB,2,3,0,1,2,0,0,0
Zach Grace,44,TE,5,43,19,10,12,2,0,0
Terrance Green,D99,DI,6,16,0,0,0,0,16,0
Ashton Porter,D29,ED,1,2,0,0,0,0,2,0
Blake Purchase,D09,ED,6,40,0,0,35,5,0,0
A'Mauri Washington,D52,DI,5,17,0,0,3,0,14,0
Aydin Breland,D42,DI,3,3,0,0,2,0,1,0
Trent Ferguson,56,T,6,38,0,0,0,0,0,38
Dakoda Fields,D11,CB,2,3,0,0,0,0,3,0
Aaron Flowers,D21,S,6,73,0,38,22,0,13,0
Tionne Gray,D50,DI,6,15,0,0,0,0,15,0
Jay Harris,22,HB,3,18,0,0,18,0,0,0
Gage Hurych,S97,K,4,21,0,14,0,0,0,7
Sione Laulea,D03,CB,5,60,15,5,31,5,4,0
Kingston Lopa,D02,S,6,21,0,18,0,0,3,0
Jeremiah McClellan,11,WR,6,34,1,0,33,0,0,0
Kamar Mothudi,D33,LB,2,6,0,4,0,0,2,0
Elijah Rushing,D47,ED,2,2,0,0,0,0,2,0
Roger Saleapaga,83,TE,6,112,22,22,14,12,0,42
Brady Bidwell,89,WR,2,3,0,3,0,0,0,0
Ify Obidegwu,D07,CB,6,27,21,0,1,0,5,0
Dylan Williams,D20,LB,1,6,0,0,6,0,0,0
Peyton Woodyard,D12,S,6,71,0,35,34,0,2,0
Gavin Nix,D13,LB,3,25,0,24,0,0,1,0
Dierre Hill Jr.,23,HB,3,7,2,5,0,0,0,0
Brandon Finney Jr.,D04,CB,6,79,0,33,35,0,11,0
Nasir Wyatt,D32,ED,6,39,0,35,4,0,0,0
Matthew Johnson,D55,DI,2,3,0,0,0,0,3,0
Na'eem Offord,D14,CB,6,57,14,37,3,0,3,0
Dakorien Moore,01,WR,2,5,0,0,5,0,0,0
Tobi Haastrup,D19,ED,3,8,0,8,0,0,0,0
