Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week6_Snaps,Week6_Started,Week7_Snaps,Week7_Started,Week8_Snaps,Week8_Started
An'Darius Coffey,D24,Jr.,S,41,FALSE,54,FALSE,2,FALSE,2,FALSE,9,FALSE,9,FALSE,6,FALSE
Tony Grimes,D00,Jr.,CB,39,FALSE,60,FALSE,70,FALSE,38,FALSE,0,FALSE,66,FALSE,78,FALSE
Myles Slusher,D09,Jr.,S,33,FALSE,41,FALSE,70,FALSE,43,FALSE,65,FALSE,66,FALSE,17,FALSE
Crew Wakley,D07,Jr.,S,20,FALSE,19,FALSE,0,FALSE,21,FALSE,0,FALSE,0,FALSE,0,FALSE
Tahj Ra-El,D21,Jr.,S,49,FALSE,59,FALSE,67,FALSE,64,FALSE,59,FALSE,66,FALSE,78,FALSE
Richard Toney Jr.,D43,Jr.,S,5,FALSE,1,FALSE,12,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Jamarius Dinkins,D55,Jr.,DI,7,FALSE,0,FALSE,8,FALSE,5,FALSE,0,FALSE,0,FALSE,0,FALSE
Breylon Charles,D95,Jr.,ED,20,FALSE,8,FALSE,0,FALSE,5,FALSE,6,FALSE,6,FALSE,0,FALSE
CJ Nunnally IV,D91,Jr.,ED,20,FALSE,24,FALSE,40,FALSE,31,FALSE,56,FALSE,59,FALSE,67,FALSE
Ryan Turner,D12,So.,CB,22,FALSE,20,FALSE,15,FALSE,3,FALSE,13,FALSE,0,FALSE,0,FALSE
Mani Powell,D16,Jr.,LB,47,FALSE,49,FALSE,66,FALSE,64,FALSE,63,FALSE,66,FALSE,74,FALSE
CJ Madden,D08,So.,ED,31,FALSE,49,FALSE,48,FALSE,36,FALSE,47,FALSE,47,FALSE,32,FALSE
Ian Jeffries,D40,Fr.,DI,16,FALSE,16,FALSE,21,FALSE,17,FALSE,34,FALSE,41,FALSE,50,FALSE
Alex Sanford Jr.,D10,So.,LB,12,FALSE,12,FALSE,43,FALSE,31,FALSE,37,FALSE,40,FALSE,46,FALSE
Trey Smith,D23,Fr.,ED,33,FALSE,46,FALSE,7,FALSE,14,FALSE,9,FALSE,7,FALSE,12,FALSE
Jamarrion Harkless,D97,Fr.,DI,25,FALSE,23,FALSE,28,FALSE,42,FALSE,35,FALSE,34,FALSE,28,FALSE
Breeon Ishmail,D58,Fr.,ED,15,FALSE,13,FALSE,22,FALSE,23,FALSE,12,FALSE,13,FALSE,49,FALSE
Smiley Bradford,D01,Fr.,CB,18,FALSE,23,FALSE,34,FALSE,55,FALSE,28,FALSE,26,FALSE,34,FALSE
Demeco Kennedy,D18,Fr.,DI,19,FALSE,25,FALSE,42,FALSE,43,FALSE,44,FALSE,50,FALSE,60,FALSE
TJ Lindsey,D13,Fr.,DI,26,FALSE,35,FALSE,7,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Sanders Ellis,D06,Fr.,LB,4,FALSE,0,FALSE,4,FALSE,0,FALSE,2,FALSE,0,FALSE,6,FALSE
Charles Correa,D05,Fr.,LB,36,FALSE,43,FALSE,70,FALSE,55,FALSE,65,FALSE,66,FALSE,80,FALSE
Hudauri Hines,D04,Fr.,CB,45,FALSE,40,FALSE,55,FALSE,49,FALSE,58,FALSE,49,FALSE,78,FALSE
Josh Burney,D53,Jr.,DI,0,FALSE,0,FALSE,23,FALSE,16,FALSE,18,FALSE,0,FALSE,0,FALSE
Winston Berglund,D20,Fr.,LB,0,FALSE,0,FALSE,16,FALSE,5,FALSE,0,FALSE,0,FALSE,0,FALSE
Traveon Wright,D17,Fr.,CB,0,FALSE,0,FALSE,0,FALSE,38,FALSE,54,FALSE,0,FALSE,0,FALSE
Drake Carlson,D98,Fr.,DI,0,FALSE,0,FALSE,0,FALSE,4,FALSE,0,FALSE,0,FALSE,0,FALSE
Chalil Cummings,D28,Fr.,CB,0,FALSE,0,FALSE,0,FALSE,0,FALSE,1,FALSE,15,FALSE,2,FALSE
Hershey McLaurin,D25,Jr.,S,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,63,FALSE
Marcus Moore Jr.,D52,Fr.,DI,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,20,FALSE
