Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week6_Snaps,Week6_Started,Week7_Snaps,Week7_Started,Week8_Snaps,Week8_Started
EJ Horton Jr.,13,Jr.,WR,20,false,42,false,37,false,22,false,0,false,12,false,41,false
Christian Moore,44,Jr.,TE,15,false,37,false,4,false,5,false,5,false,41,false,20,false
Jalen St. John,74,Jr.,G,50,false,79,false,71,false,70,false,32,false,0,false,18,false
Malachi Thomas,24,Jr.,HB,9,false,13,false,5,false,9,false,11,false,22,false,25,false
Devin Mockobee,45,Jr.,HB,40,false,57,false,48,false,43,false,50,false,54,false,31,false
Michael Jackson III,02,Jr.,WR,38,false,44,false,63,false,59,false,66,false,69,false,46,false
Joey Tanona,79,So.,T,60,false,79,false,71,false,70,false,77,false,88,false,58,false
Rico Walker,17,So.,TE,23,false,0,false,0,false,19,false,5,false,15,false,17,false
Jude McCoskey,72,So.,T,2,false,5,false,0,false,10,false,2,false,0,false,0,false
Malachi Singleton,03,Fr.,QB,10,false,0,false,1,false,10,false,3,false,6,false,39,false
Bradyn Joiner,55,Fr.,C,57,false,79,false,71,false,70,false,77,false,88,false,58,false
Christian Earls,87,Jr.,TE,11,false,26,false,2,false,14,false,53,false,32,false,19,false
Arhmad Branch,06,Fr.,WR,29,false,29,false,11,false,32,false,22,false,21,false,9,false
Ryan Browne,15,Fr.,QB,50,false,79,false,70,false,60,false,74,false,82,false,19,false
George Burhenn,81,Fr.,TE,16,false,36,false,58,false,28,false,0,false,0,false,0,false
Bakyne Coly,78,Jr.,T,60,false,79,false,71,false,60,false,77,false,88,false,58,false
Ethan Trent,76,Fr.,G,60,false,79,false,71,false,70,false,77,false,88,false,40,false
Jaheim Merriweather,23,Fr.,HB,2,false,0,false,8,false,0,false,2,false,0,false,0,false
Jesse Watson,10,Fr.,WR,21,false,22,false,15,false,23,false,29,false,5,false,16,false
Nitro Tuggle,00,Fr.,WR,35,false,52,false,68,false,63,false,69,false,67,false,39,false
Hank Purvis,58,Fr.,G,13,false,0,false,0,false,1,false,45,false,88,false,58,false
Corey Smith,12,Fr.,WR,24,false,21,false,26,false,21,false,44,false,76,false,27,false
Antonio Harris,22,Fr.,HB,10,false,9,false,10,false,13,false,12,false,12,false,0,false
Jalil Hall,09,Fr.,WR,5,false,0,false,0,false,0,false,0,false,0,false,0,false
Luca Puccinelli,85,Fr.,TE,0,false,2,false,0,false,0,false,0,false,0,false,0,false
Tahj Ra-El,D21,Jr.,S,0,false,0,false,0,false,1,false,0,false,0,false,0,false
Mani Powell,D16,Jr.,LB,0,false,0,false,0,false,1,false,0,false,0,false,0,false
Jack McCallister,S38,Jr.,P,0,false,0,false,0,false,1,false,0,false,0,false,0,false
Alex Sanford Jr.,D10,So.,LB,0,false,0,false,0,false,1,false,0,false,0,false,0,false
Sterling Smith,D03,So.,CB,0,false,0,false,0,false,1,false,0,false,0,false,0,false
Hudauri Hines,D04,Fr.,CB,0,false,0,false,0,false,1,false,0,false,0,false,0,false
Max Parrott,70,Fr.,G,0,false,0,false,0,false,1,false,0,false,0,false,0,false
Luke Raab,S46,Fr.,LS,0,false,0,false,0,false,1,false,0,false,0,false,0,false
Giordano Vaccaro,62,Jr.,C,0,false,0,false,0,false,1,false,0,false,0,false,0,false
Chauncey Magwood,05,Jr.,WR,0,false,0,false,0,false,0,false,14,false,14,false,0,false
John Randle Jr.,50,Fr.,T,0,false,0,false,0,false,0,false,1,false,0,false,0,false
