Player,#,POS,Games,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
EJ Horton Jr.,13,WR,6,16,0,0,3,13,0,0
An'Darius Coffey,D24,S,5,43,0,25,7,4,7,0
Christian Moore,44,TE,6,36,36,0,0,0,0,0
Tony Grimes,D00,CB,6,47,0,4,16,0,27,0
Myles Slusher,D09,S,7,39,0,2,4,0,33,0
Crew Wakley,D07,S,4,14,0,0,9,0,5,0
Malachi Thomas,24,HB,6,39,36,0,0,3,0,0
Tahj Ra-El,D21,S,7,84,0,17,5,23,39,0
Richard Toney Jr.,D43,S,2,2,0,1,1,0,0,0
Michael Jackson III,02,WR,5,27,8,0,19,0,0,0
Jamarius Dinkins,D55,DI,2,2,0,0,0,0,2,0
Breylon Charles,D95,ED,2,2,0,0,1,0,1,0
CJ Nunnally IV,D91,ED,7,36,0,0,3,0,33,0
Josh Burney,D53,DI,3,7,0,0,0,0,7,0
Ryan Turner,D12,CB,6,45,31,0,7,0,7,0
Joey Tanona,79,T,6,28,0,0,0,0,0,28
Mani Powell,D16,LB,7,100,34,0,4,23,39,0
CJ Madden,D08,ED,7,39,0,0,3,0,36,0
Hershey McLaurin,D25,S,1,3,0,0,0,0,3,0
Zeke Williams,D26,CB,4,19,0,6,13,0,0,0
Jack McCallister,S38,P,7,51,0,0,0,23,0,28
TD Williams,D29,CB,1,1,0,0,1,0,0,0
Traveon Wright,D17,CB,6,40,0,18,10,0,12,0
Seth Turner,S93,P,6,34,0,34,0,0,0,0
Jude McCoskey,72,T,6,28,0,0,0,0,0,28
Ian Jeffries,D40,DI,6,17,0,0,2,0,15,0
Carson Dean,D11,LB,2,2,2,0,0,0,0,0
Alex Sanford Jr.,D10,LB,7,61,2,34,0,23,2,0
Trey Smith,D23,ED,7,27,0,13,6,0,8,0
Christian Earls,87,TE,6,59,36,0,0,0,0,23
Andrew Adkison,83,WR,2,5,5,0,0,0,0,0
Winston Berglund,D20,LB,3,8,0,1,7,0,0,0
Drake Carlson,D98,DI,6,67,36,0,0,0,3,28
Bakyne Coly,78,T,2,11,0,0,0,0,0,11
Jamarrion Harkless,D97,DI,7,24,0,0,1,0,23,0
Ethan Trent,76,G,6,51,34,0,0,0,0,17
Breeon Ishmail,D58,ED,4,5,0,0,2,0,3,0
Hayden Timosciek,54,G,2,7,0,0,7,0,0,0
Marcus Moore Jr.,D52,DI,1,1,0,0,0,0,1,0
Sterling Smith,D03,CB,7,101,36,34,15,16,0,0
Smiley Bradford,D01,CB,7,43,0,0,7,0,36,0
Demeco Kennedy,D18,DI,6,26,0,0,2,0,24,0
D'Mon Marable,D32,S,6,56,36,20,0,0,0,0
Jaheim Merriweather,23,HB,4,21,2,16,3,0,0,0
TJ Lindsey,D13,DI,3,11,0,0,5,0,6,0
Sanders Ellis,D06,LB,7,38,2,34,0,0,2,0
Charles Correa,D05,LB,7,77,34,0,3,0,40,0
Hank Purvis,58,G,7,51,0,0,0,23,0,28
Mason Vicari,51,G,6,28,0,0,0,0,0,28
Antonio Harris,22,HB,5,29,26,3,0,0,0,0
Hudauri Hines,D04,CB,7,70,0,13,4,19,34,0
Luke Klare,89,TE,1,5,0,5,0,0,0,0
Isaiah Needam,D49,S,6,59,0,30,15,14,0,0
Max Parrott,70,G,6,23,0,0,0,23,0,0
Spencer Porath,S35,K,6,28,0,0,0,0,0,28
Luca Puccinelli,85,TE,1,5,0,0,0,0,0,5
Luke Raab,S46,LS,7,51,0,0,0,23,0,28
Chalil Cummings,D28,CB,6,33,0,19,12,0,2,0
Giordano Vaccaro,62,C,7,46,0,0,0,23,0,23
Landon Brooks,D19,ED,1,1,0,0,0,0,1,0
Rocco Daly,52,G,1,5,0,0,0,0,0,5
Jaxon Ott,D51,LB,5,34,0,29,5,0,0,0
Maxwell Barbee,D22,S,3,23,0,16,7,0,0,0
