Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week5_Snaps,Week5_Started,Week7_Snaps,Week7_Started,Week8_Snaps,Week8_Started
Jett Elad,D09,Jr.,S,62,FALSE,44,FALSE,42,FALSE,58,FALSE,61,FALSE,56,FALSE,53,FALSE
Al-Shadee Salaam,D21,Jr.,CB,41,FALSE,22,FALSE,26,FALSE,18,FALSE,1,FALSE,16,FALSE,0,FALSE
Jordan Thompson,D14,Jr.,ED,32,FALSE,23,FALSE,19,FALSE,31,FALSE,28,FALSE,23,FALSE,24,FALSE
Zaire Angoy,D55,Jr.,DI,32,FALSE,14,FALSE,16,FALSE,39,FALSE,33,FALSE,28,FALSE,28,FALSE
Henry Hughes Jr.,D95,Jr.,DI,7,FALSE,7,FALSE,9,FALSE,1,FALSE,0,FALSE,3,FALSE,8,FALSE
Keshon Griffin,D96,Jr.,DI,38,FALSE,26,FALSE,21,FALSE,38,FALSE,35,FALSE,23,FALSE,22,FALSE
Bradley Weaver,D94,Jr.,ED,31,FALSE,27,FALSE,20,FALSE,29,FALSE,34,FALSE,36,FALSE,35,FALSE
Eric O'Neill,D99,Jr.,ED,38,FALSE,28,FALSE,27,FALSE,34,FALSE,34,FALSE,36,FALSE,34,FALSE
Moses Walker,D02,Jr.,LB,61,FALSE,26,FALSE,26,FALSE,24,FALSE,0,FALSE,0,FALSE,0,FALSE
Jacobie Henderson,D10,Jr.,CB,43,FALSE,36,FALSE,36,FALSE,53,FALSE,53,FALSE,46,FALSE,51,FALSE
Chris Joines,D20,Jr.,S,2,FALSE,4,FALSE,22,FALSE,9,FALSE,0,FALSE,0,FALSE,0,FALSE
Dariel Djabome,D08,Jr.,LB,62,FALSE,44,FALSE,35,FALSE,57,FALSE,59,FALSE,52,FALSE,52,FALSE
Jordan Walker,D01,Jr.,ED,40,FALSE,29,FALSE,29,FALSE,31,FALSE,50,FALSE,30,FALSE,26,FALSE
Oliver Billotte,D97,Jr.,DI,22,FALSE,17,FALSE,18,FALSE,15,FALSE,21,FALSE,21,FALSE,18,FALSE
Cam Miller,D07,Jr.,CB,62,FALSE,42,FALSE,42,FALSE,55,FALSE,56,FALSE,56,FALSE,48,FALSE
Bo Mascoe,D03,So.,CB,41,FALSE,33,FALSE,23,FALSE,49,FALSE,60,FALSE,50,FALSE,41,FALSE
Darold DeNgohe,D92,So.,DI,8,FALSE,9,FALSE,15,FALSE,17,FALSE,0,FALSE,0,FALSE,0,FALSE
Kaj Sanders,D05,Fr.,S,60,FALSE,44,FALSE,27,FALSE,51,FALSE,61,FALSE,51,FALSE,49,FALSE
Austin Dean,D47,Jr.,LB,0,FALSE,5,FALSE,7,FALSE,3,FALSE,0,FALSE,0,FALSE,0,FALSE
Timmy Ward,D38,Jr.,S,0,FALSE,4,FALSE,3,FALSE,0,FALSE,1,FALSE,8,FALSE,10,FALSE
Sebastian Jusma,D29,Jr.,CB,0,FALSE,4,FALSE,10,FALSE,0,FALSE,0,FALSE,3,FALSE,10,FALSE
Zilan Williams,D15,Jr.,LB,0,FALSE,4,FALSE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Abram Wright,D06,So.,LB,0,FALSE,16,FALSE,22,FALSE,36,FALSE,61,FALSE,55,FALSE,53,FALSE
Djibril Abdou Rahman,D91,So.,ED,0,FALSE,8,FALSE,13,FALSE,0,FALSE,10,FALSE,23,FALSE,18,FALSE
Kevin Levy,D24,Fr.,CB,0,FALSE,4,FALSE,9,FALSE,0,FALSE,8,FALSE,8,FALSE,25,FALSE
Farell Gnago,D90,Fr.,DI,0,FALSE,4,FALSE,8,FALSE,0,FALSE,0,FALSE,13,FALSE,17,FALSE
Sam Robinson,D04,Fr.,LB,0,FALSE,4,FALSE,6,FALSE,0,FALSE,5,FALSE,3,FALSE,5,FALSE
Jesse Ofurie,D16,So.,S,0,FALSE,0,FALSE,7,FALSE,0,FALSE,0,FALSE,3,FALSE,14,FALSE
Sage Clawges,D27,So.,CB,0,FALSE,0,FALSE,7,FALSE,0,FALSE,0,FALSE,3,FALSE,10,FALSE
Isaiah Crumpler,D26,Fr.,S,0,FALSE,0,FALSE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Canaan Edwards,D18,Fr.,DI,0,FALSE,0,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Jyon Simon,D88,Fr.,DI,0,FALSE,0,FALSE,3,FALSE,0,FALSE,0,FALSE,0,FALSE,10,FALSE
DJ McClary,D13,Fr.,LB,0,FALSE,0,FALSE,4,FALSE,0,FALSE,0,FALSE,0,FALSE,10,FALSE
Renick Dorilas,D12,Fr.,S,0,FALSE,0,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
Kamar Archie,D36,Fr.,LB,0,FALSE,0,FALSE,3,FALSE,0,FALSE,0,FALSE,3,FALSE,10,FALSE
RJ Johnson Jr.,D32,Fr.,ED,0,FALSE,0,FALSE,7,FALSE,0,FALSE,0,FALSE,0,FALSE,10,FALSE
Wydeek Collier,D43,Fr.,ED,0,FALSE,0,FALSE,2,FALSE,1,FALSE,0,FALSE,0,FALSE,0,FALSE
Raedyn Bruens,DE48,Fr.,ED,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,2,FALSE
