Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week5_Snaps,Week5_Started,Week7_Snaps,Week7_Started,Week8_Snaps,Week8_Started
Bryan Felter,65,Jr.,G,61,false,82,false,62,false,72,false,77,false,82,false,69,false
CJ Campbell Jr.,05,Jr.,HB,19,false,28,false,1,false,0,false,0,false,0,false,0,false
Athan Kaliakmanis,16,Jr.,QB,61,false,82,false,62,false,72,false,77,false,82,false,57,false
Tyler Needham,56,Jr.,T,7,false,55,false,51,false,71,false,77,false,79,false,69,false
Gus Zilinskas,59,Jr.,C,61,false,82,false,62,false,72,false,77,false,82,false,57,false
Colin Weber,18,Jr.,TE,40,false,43,false,32,false,22,false,23,false,39,false,19,false
Kwabena Asamoah,69,Jr.,G,61,false,82,false,62,false,72,false,77,false,82,false,69,false
Dantae Chin,76,Jr.,T,54,false,44,false,0,false,0,false,0,false,0,false,0,false
Kenny Fletcher Jr.,12,Jr.,TE,39,false,43,false,35,false,55,false,54,false,26,false,27,false
Taj White,54,Jr.,T,61,false,65,false,62,false,72,false,77,false,82,false,69,false
Ja'shon Benjamin,20,So.,HB,10,false,20,false,26,false,9,false,1,false,21,false,30,false
Ian Strong,09,So.,WR,60,false,75,false,0,false,69,false,77,false,81,false,30,false
DT Sheffield,00,Jr.,WR,43,false,74,false,56,false,63,false,70,false,80,false,56,false
Ben Black,17,Fr.,WR,1,false,10,false,62,false,5,false,4,false,16,false,46,false
KJ Duff,08,Fr.,WR,61,false,78,false,62,false,66,false,77,false,81,false,57,false
Antwan Raymond,03,Fr.,HB,32,false,34,false,35,false,63,false,61,false,61,false,39,false
Dino Kaliakmanis,83,Jr.,WR,0,false,3,false,12,false,0,false,0,false,0,false,0,false
Dane Pardridge,89,Jr.,WR,0,false,2,false,4,false,0,false,0,false,0,false,0,false
Terrence Salami,73,Jr.,C,0,false,0,false,23,false,3,false,0,false,1,false,12,false
Mike Higgins,88,Jr.,TE,0,false,0,false,2,false,0,false,0,false,0,false,0,false
Logan Blake,11,So.,TE,0,false,0,false,18,false,2,false,3,false,3,false,11,false
Dylan Braithwaite,07,So.,WR,0,false,0,false,20,false,0,false,0,false,0,false,0,false
John Stone,71,So.,G,0,false,0,false,23,false,3,false,0,false,1,false,0,false
Moshood Giwa,74,So.,T,0,false,0,false,23,false,1,false,0,false,3,false,0,false
Edd Guerrier,23,Fr.,HB,0,false,0,false,15,false,0,false,0,false,0,false,0,false
Kenny Jones,77,Fr.,T,0,false,0,false,11,false,0,false,0,false,0,false,0,false
AJ Surace,10,Fr.,QB,0,false,0,false,18,false,0,false,0,false,0,false,12,false
Jackson Gister,82,Fr.,TE,0,false,0,false,3,false,0,false,0,false,0,false,0,false
Trent Osborn,25,Fr.,WR,0,false,0,false,3,false,0,false,0,false,0,false,0,false
Vernon Allen III,13,Fr.,WR,0,false,0,false,8,false,0,false,0,false,0,false,0,false
Sah'nye Degraffenreidt,14,Fr.,WR,0,false,0,false,11,false,0,false,0,false,0,false,12,false
Sean Ashenfelder,06,Fr.,QB,0,false,0,false,5,false,0,false,0,false,0,false,0,false
Terrell Mitchell,26,Fr.,HB,0,false,0,false,8,false,0,false,0,false,0,false,0,false
Chris Vigna,67,Fr.,G,0,false,0,false,23,false,0,false,0,false,0,false,0,false
Michael Thomas III,80,Fr.,WR,0,false,0,false,12,false,0,false,0,false,0,false,1,false
Justin Cesaire,79,Jr.,T,0,false,0,false,23,false,0,false,0,false,0,false,0,false
Samuel Brown V,27,Jr.,HB,0,false,0,false,0,false,0,false,15,false,0,false,0,false
Jourdin Houston,04,Fr.,WR,0,false,0,false,0,false,0,false,0,false,0,false,17,false
