Player,#,S,POS,Week1_KRET,Week1_KCOV,Week1_PRET,Week1_PCOV,Week1_FGBLK,Week1_FGK,Week2_KRET,Week2_KCOV,Week2_PRET,Week2_PCOV,Week2_FGBLK,Week2_FGK,Week3_KRET,Week3_KCOV,Week3_PRET,Week3_PCOV,Week3_FGBLK,Week3_FGK,Week4_KRET,Week4_KCOV,Week4_PRET,Week4_PCOV,Week4_FGBLK,Week4_FGK
Cam Miller,D07,ST,8,0,0,3,0,5,5,0,0,2,0,3,7,0,0,5,0,2,9,0,0,2,0,7
Jesse Ofurie,D16,ST,9,0,7,2,0,0,15,4,8,3,0,0,17,3,9,5,0,0,15,7,5,3,0,0
Kaj Sanders,D05,ST,7,0,0,2,0,5,6,0,0,3,0,3,5,0,0,4,0,1,9,0,0,3,0,6
Dino Kaliakmanis,83,ST,14,6,7,0,1,0,16,4,8,3,1,0,16,3,9,4,0,0,18,7,5,3,3,0
Sebastian Jusma,D29,ST,7,0,7,0,0,0,8,0,8,0,0,0,10,0,9,1,0,0,0,0,0,0,0,0
Chris Joines,D20,ST,16,6,7,2,1,0,16,4,8,3,1,0,17,3,9,4,0,1,19,7,5,3,3,1
Zilan Williams,D15,ST,13,6,7,0,0,0,12,4,8,0,0,0,13,3,9,1,0,0,12,7,5,0,0,0
Austin Dean,D47,ST,13,6,7,0,0,0,14,4,8,2,0,0,6,3,2,1,0,0,8,7,0,1,0,0
Michael O'Connor,S99,LS,7,0,0,0,1,0,8,0,0,0,1,0,8,0,0,0,0,0,9,0,0,0,3,0
Michael Robinson II,31,ST,9,0,7,2,0,0,15,4,8,3,0,0,13,3,9,1,0,0,13,7,5,1,0,0
Terrence Salami,73,ST,6,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0
John Stone,71,ST,6,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0
Jordan Thompson,D14,ST,9,0,0,1,0,2,9,0,0,0,0,2,8,0,0,0,0,1,7,0,0,0,0,1
Kwabena Asamoah,69,ST,6,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0
Jordan Walker,D01,ST,12,0,0,1,1,4,10,0,0,1,1,1,2,0,0,1,0,1,9,0,0,0,3,6
Jett Elad,D09,ST,7,0,0,3,0,4,5,0,0,2,0,3,7,0,0,5,0,2,9,0,0,2,0,7
Keshon Griffin,D96,ST,8,0,0,0,0,2,9,0,0,0,0,2,10,0,0,1,0,1,12,0,0,0,0,6
Timmy Ward,D38,ST,17,6,7,2,1,1,16,4,8,3,1,0,16,3,9,4,0,0,18,7,5,3,3,0
Dantae Chin,76,ST,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan Felter,65,ST,6,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0
Al-Shadee Salaam,D21,ST,5,0,0,1,0,4,3,0,0,2,0,1,3,0,0,3,0,0,2,0,0,1,0,1
Dariel Djabome,D08,ST,7,0,0,1,1,5,5,0,0,1,1,3,4,0,0,2,0,2,10,0,0,0,3,7
Bo Mascoe,D03,ST,6,0,0,2,0,4,6,0,0,3,0,3,6,0,0,4,0,2,9,0,0,3,0,6
Eric O'Neill,D99,ST,4,0,0,1,0,3,1,0,0,0,0,1,4,0,0,2,0,2,4,0,0,0,0,4
Ben Black,17,ST,9,6,0,2,1,0,14,4,8,1,1,0,15,3,9,3,0,0,15,7,5,2,1,0
Jacobie Henderson,D10,ST,3,0,0,1,0,2,3,0,0,1,0,2,4,0,0,2,0,2,7,0,0,0,0,7
Dylan Braithwaite,67,ST,2,0,2,0,0,0,6,0,6,0,0,0,12,0,9,3,0,0,7,0,5,0,2,0
Moses Walker,D02,ST,7,0,0,1,1,5,4,0,0,0,1,3,3,0,0,1,0,2,6,0,0,0,3,3
Bradley Weaver,D94,ST,2,0,0,1,0,1,3,0,0,1,0,2,1,0,0,1,0,0,3,0,0,0,0,3
Colin Weber,18,ST,7,6,0,0,1,0,5,4,0,0,1,0,3,3,0,0,0,0,6,4,0,0,2,0
Jackson Gister,82,ST,7,6,0,0,1,0,5,4,0,0,1,0,6,3,0,0,0,0,10,7,0,0,3,0
Noah Shaw,D34,ST,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DT Sheffield,0,ST,3,0,0,3,0,0,4,0,0,4,0,0,5,0,0,5,0,0,3,0,0,3,0,0
Ian Strong,9,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darold DeNgohe,D92,ST,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
Ja'shon Benjamin,20,ST,6,6,0,0,0,0,4,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
Oliver Billotte,D97,ST,1,0,0,0,0,1,1,0,0,0,0,1,3,0,0,2,0,1,1,0,0,0,0,1
Zaire Angoy,D55,ST,4,0,0,0,0,4,3,0,0,1,0,2,1,0,0,0,0,1,6,0,0,0,0,6
Henry Hughes Jr.,D95,ST,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sam Robinson,D04,ST,12,6,6,0,0,0,2,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Isaiah Crumpler,D26,ST,13,6,5,2,0,0,2,0,2,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0
Tyler Needham,56,ST,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Insinga,D33,ST,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abram Wright,D06,ST,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,0,0,0,0,4
Moshood Giwa,74,ST,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0
Sage Clawges,D27,ST,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,5,0,5,0,0,0
Logan Blake,11,ST,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0
Sammy El Hadidi,S46,LS,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ben Rothhaar,24,ST,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0
Renick Dorilas,D12,ST,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0
Emir Stinette,61,ST,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Dane Pardridge,89,ST,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0
Isaiah Deloatch,D23,ST,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Sah'nye Degraffenreidt,14,ST,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Justin Cesaire,79,ST,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Kevin Levy,D24,ST,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Latrell Noel,D35,ST,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Michael Thomas III,80,ST,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Wydeek Collier,D43,ST,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Kamar Archie,D36,ST,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
DJ McClary,D13,ST,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Jyon Simon,D88,ST,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Farell Gnago,D90,ST,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
Raynor Andrews,75,ST,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Zach Aamland,70,ST,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Djibril Abdou Rahman,D91,ST,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Mike Higgins,88,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Kenny Fletcher Jr.,12,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
KJ Duff,8,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0
Riley McCann,S22,K,6,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0
Jack Scullion,S93,K,7,0,7,0,0,0,8,0,8,0,0,0,10,0,10,0,0,0,5,0,5,0,0,0
Jai Patel,S44,K,6,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0
Dane Pizzaro,S92,K,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Jakob Anderson,S94,P,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0
