Player,#,POS,Games,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Jett Elad,D09,S,6,45,0,0,16,0,29,0
Bryan Felter,65,G,6,37,0,0,0,0,0,37
Dino Kaliakmanis,83,WR,5,83,26,34,14,9,0,0
Al-Shadee Salaam,D21,CB,6,19,0,0,10,2,7,0
Tyler Needham,56,T,1,3,0,0,0,0,0,3
Terrence Salami,73,C,6,39,0,0,0,0,0,39
Jordan Thompson,D14,ED,6,45,0,0,1,0,8,36
Michael Robinson II,D31,CB,6,73,26,39,8,0,0,0
Austin Dean,D47,LB,5,47,26,17,4,0,0,0
Zaire Angoy,D55,DI,6,21,0,0,1,0,20,0
Henry Hughes Jr.,D95,DI,2,3,0,0,0,0,3,0
Keshon Griffin,D96,DI,6,59,0,0,1,0,21,37
Michael O'Connor,S99,LS,6,48,0,0,0,11,0,37
Colin Weber,18,TE,6,27,17,0,0,10,0,0
Bradley Weaver,D94,ED,6,16,0,0,3,0,13,0
Eric O'Neill,D99,ED,6,20,0,0,3,0,17,0
Kwabena Asamoah,69,G,6,37,0,0,0,0,0,37
Dantae Chin,76,T,2,10,0,0,0,0,0,10
Mike Higgins,88,TE,2,9,9,0,0,0,0,0
Kenny Fletcher Jr.,12,TE,2,2,0,0,1,1,0,0
Moses Walker,D02,LB,4,20,0,0,2,5,13,0
Timmy Ward,D38,S,6,97,32,39,19,6,1,0
Jacobie Henderson,D10,CB,6,35,0,0,10,0,25,0
Dane Pardridge,89,WR,1,4,0,2,2,0,0,0
Chris Joines,D20,S,5,72,20,31,14,5,2,0
Dariel Djabome,D08,LB,6,45,0,0,4,11,30,0
Sammy El Hadidi,S46,LS,1,2,0,0,0,0,0,2
Sebastian Jusma,D29,CB,5,41,6,34,1,0,0,0
Jai Patel,S44,K,6,36,0,0,0,0,0,36
Emir Stinette,61,G,1,2,0,0,0,0,0,2
Jordan Walker,D01,ED,6,49,0,0,3,11,22,13
Zilan Williams,D15,LB,6,72,32,39,1,0,0,0
Oliver Billotte,D97,DI,6,11,0,0,2,0,9,0
Cam Miller,D07,CB,6,50,0,0,14,6,30,0
Ja'shon Benjamin,20,HB,5,25,25,0,0,0,0,0
Logan Blake,11,TE,4,38,6,0,0,6,0,26
Dylan Braithwaite,07,WR,4,27,0,22,3,2,0,0
Bo Mascoe,D03,CB,6,47,0,0,19,0,28,0
Jesse Ofurie,D16,S,6,83,26,39,18,0,0,0
John Stone,71,G,6,37,0,0,0,0,0,37
Abram Wright,D06,LB,5,24,0,0,7,0,17,0
Moshood Giwa,74,T,4,26,0,0,0,0,0,26
Darold DeNgohe,D92,DI,4,4,0,0,1,0,3,0
DT Sheffield,00,WR,6,19,0,0,19,0,0,0
Djibril Abdou Rahman,D91,ED,2,4,0,0,1,0,3,0
Sage Clawges,D27,CB,4,38,10,23,5,0,0,0
Riley McCann,S22,K,6,39,0,0,0,0,0,39
Zach Aamland,70,G,1,2,0,0,0,0,0,2
Raynor Andrews,75,T,1,2,0,0,0,0,0,2
Ben Black,02,WR,6,85,32,30,14,9,0,0
Isaiah Crumpler,D26,S,6,33,6,25,2,0,0,0
KJ Duff,08,WR,2,10,7,0,3,0,0,0
Kevin Levy,D24,CB,3,14,0,12,2,0,0,0
Kaj Sanders,D05,S,6,52,0,0,19,5,28,0
Jakob Anderson,S94,P,5,11,0,0,0,11,0,0
Jackson Gister,82,TE,4,28,20,0,0,5,0,3
Farell Gnago,D90,DI,2,3,0,0,2,0,1,0
Joe Nwachukwu,D50,LB,2,7,2,5,0,0,0,0
Dane Pizzaro,S29,K,2,4,0,1,0,0,0,3
Sam Robinson,D04,LB,6,28,12,6,4,6,0,0
Jack Scullion,S93,K,6,40,0,40,0,0,0,0
Noah Shaw,D34,S,1,1,0,1,0,0,0,0
Jyon Simon,D88,DI,1,1,0,0,1,0,0,0
Isaiah Deloatch,D23,LB,1,2,0,2,0,0,0,0
John Insinga,D33,LB,1,1,0,0,1,0,0,0
DJ McClary,D13,LB,1,1,0,0,1,0,0,0
Sah'nye Degraffenreidt,14,WR,1,2,0,2,0,0,0,0
Renick Dorilas,D12,S,1,3,0,2,1,0,0,0
Ben Rothhaar,24,TE,4,19,12,2,5,0,0,0
Michael Thomas III,80,WR,1,2,0,2,0,0,0,0
Justin Cesaire,79,T,1,2,0,0,0,0,0,2
Kamar Archie,D36,LB,1,1,0,0,1,0,0,0
Wydeek Collier,D43,ED,1,1,0,0,1,0,0,0
Latrell Noel,D35,CB,1,2,0,2,0,0,0,0
