Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started
Malik Washington,07,*,QB,60,true,63,true,51,true,57,true
Alan Herron,71,*,RT,67,true,63,true,44,true,57,true
Rahtrel Perry,76,*,LT,52,true,63,true,51,true,57,true
Michael Hershey,61,*,C,64,true,63,true,51,true,57,true
Isaiah Wright,74,*,LG,68,true,60,true,52,true,52,true
Nolan Ray,02,*,HB,34,true,22,false,21,true,21,false
Octavian Smith Jr.,05,*,RWR,51,true,52,true,39,true,53,true
Kaleb Webb,84,*,LWR,15,true,28,false,17,false,16,false
Jalil Farooq,01,*,SLWR,49,true,34,true,36,true,39,true
Shaleak Knotts,04,,RWR,40,false,40,true,40,true,42,true
DeJuan Williams,00,,HB,30,false,40,false,22,false,36,false
Dorian Fleming,09,*,TER,44,true,56,true,40,true,49,true
AJ Szymanski,89,*,TER,15,true,29,false,23,false,18,true
Amory Hills,77,,LG,13,false,7,false,34,false,5,false
DJ Samuels,20,,FB,3,false,8,false,9,false,1,false
Iverson Howard,24,,HB,15,false,57,false,28,false,,false
Ryan Howerton,75,,RG,17,false,10,false,39,false,,false
Aliou Bah,66,,RG,,false,57,true,33,true,57,true
Trevor Szymanski,50,,LT,,false,8,false,23,false,1,false
Davon Watkins,73,,LT,,false,4,false,21,false,,false
Jordan Scott,14,,RWR,,false,62,false,12,false,,false
Sean Williams,21,,LWR,,false,1,false,7,false,,false
Thomas McCluskey,48,,TEL,4,false,4,false,,false,,false
J.T. Taggart,85,,TER,16,false,,false,,false,,false
Eli Mason,27,,HB,2,false,,false,,false,,false
Jaylen Gilchrist,70,,LT,18,false,,false,,false,,false
Carlos Moore,68,,RT,11,false,,false,,false,,false
Khristian Martin,12,,QB,17,false,4,false,18,false,,false
Justyn Martin,06,,QB,4,false,,false,,false,,false
Josiah McLaurin,17,,HB,13,false,,false,,false,,false
Ryan Manning,41,,RWR,,false,3,false,20,false,,false
Logan Bennett,03,,HB,,false,40,false,,false,,false
Zymear Smith,10,,LWR,,false,,false,11,false,,false
Roman Jensen,84,,LWR,,false,,false,45,false,,false
Leon Haughton Jr.,16,,TER,,false,,false,,false,9,false
