Player,#,S,POS,Week1_KRET,Week1_KCOV,Week1_PRET,Week1_PCOV,Week1_FGBLK,Week1_FGK,Week2_KRET,Week2_KCOV,Week2_PRET,Week2_PCOV,Week2_FGBLK,Week2_FGK,Week3_KRET,Week3_KCOV,Week3_PRET,Week3_PCOV,Week3_FGBLK,Week3_FGK,Week4_KRET,Week4_KCOV,Week4_PRET,Week4_PCOV,Week4_FGBLK,Week4_FGK
Ryan Manning,11,*,ST,5,3,0,2,0,0,3,3,0,0,0,0,4,4,0,0,0,0,2,2,0,0,0,0
Zahir Mathis,D09,*,ST,10,0,7,2,0,1,3,0,0,1,0,2,,,,,,,7,0,0,3,0,4
Ethan Gough,S96,,LS,14,0,0,0,7,0,8,0,0,0,3,0,12,0,0,0,4,0,13,0,0,0,8,0
Ryan Howerton,75,,ST,7,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,,,,,,,
Aliou Bah,66,,ST,7,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0
Jaylen Gilchrist,70,,ST,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Alan Herron,71,,ST,7,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
Sidney Stewart,D29,,ST,5,0,5,0,0,0,2,0,0,1,0,1,1,0,0,1,0,0,6,1,0,2,0,3
Braydon Lee,D02,,ST,15,0,8,2,5,0,12,0,5,5,0,2,19,0,8,8,0,3,13,0,4,6,3,0
DD Holmes,D56,,ST,8,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,2,1,0,0,1,0,0
Trevor Szymanski,50,,ST,7,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
Rahtrel Perry,76,,ST,7,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
Mekhai White,D08,,ST,5,3,0,2,0,0,8,3,0,5,0,0,12,4,0,7,0,1,6,2,0,4,0,0
Jamare Glasker,D14,,ST,8,0,7,0,0,1,1,0,0,1,0,0,,,,,,,,,,,,,
Thomas McCluskey,48,,ST,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,
Darius Grimes,D48,,ST,5,3,0,2,0,0,13,3,5,5,0,0,19,4,8,8,4,2,6,0,4,2,0,0
Shaleak Knotts,04,,ST,2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,
Nolan Ray,02,,ST,3,3,0,0,0,0,1,0,0,0,1,0,,,,,,,1,0,1,0,0,0
J.T. Taggart,85,,ST,2,0,0,2,0,0,10,0,0,5,0,0,19,4,0,7,0,0,12,3,0,4,0,0
La'khi Roland,D27,,ST,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,9,0,5,1,0,3
Trey Reddick,D03,,ST,1,0,0,0,0,1,2,0,0,1,0,1,,,,,,,4,0,0,2,0,2
Philip Noyes,S43,,P,8,0,8,0,0,0,5,0,5,0,0,0,8,0,8,0,0,0,5,0,5,0,0,0
