Player,#,S,POS,TOT
Nate Becker,D89,,NT,13
Maverick Baranowski,D06,*,MLB,9
John Nestor,D17,*,LCB,19
Garrison Monroe,D23,,SS,20
Matt Kingsbury,D49,,MLB,22
Anthony Smith,D00,*,DRE,10
Jaylen Bowden,D05,,RCB,15
Adam Kissayi,D98,,DRE,15
Riley Sunram,D93,,NT,15
Deven Eastern,D91,*,NT,5
Emmanuel Karmo,D02,,LOLB,6
Joey Gerlach,D19,,ROLB,17
Koi Perich,D03,*,FS,19
Jaxon Howard,D01,*,LOLB,14
Jai'Onte' McMillan,D24,,SCB,14
Jeff Roberson,D20,,MLB,17
Kerry Brown,D14,*,SS,13
Devon Williams,D09,*,MLB,14
Karter Menz,D11,,ROLB,12
Za'Quan Bryan,D04,*,RCB,16
Darius Green,D12,,SS,21
Mason Carrier,D48,,MLB,7
Rushawn Lawrence,D16,,DLT,14
Jalen Logan-Redding,D97,*,DLT,9
Lucas Finnessy,D46,,DRE,12
Aidan Gousby,D07,*,FS,14
