Player,#,S,POS,TOT
Fame Ijeboi,7,,HB,26
Le'Meke Brockington,0,*,RWR,53
Jameson Geers,86,*,TE-R,51
Drake Lindsey,5,*,QB,73
Koi Perich,D03,,LWR,3
A.J. Turner,2,*,HB,5
Dylan Ray,73,*,RT,73
Nathan Roy,50,*,LT,71
Ashton Beers,78,*,C,73
Drew Biber,87,,TE-L,29
Javon Tracy,11,*,RWR,45
Cam Davis,23,,HB,43
Kahlee Tafai,71,,LT,2
Tony Nelson,59,,LG,2
Frank Bierman,44,*,TE-R,18
Pierce Walsh,19,,TE-L,26
Kenric Lanier II,15,,RWR,7
Greg Johnson,65,*,LG,73
Logan Loya,17,,SLWR,22
Marcellus Marshall,74,*,RG,73
Jalen Smith,8,*,LWR,35
