Player,#,S,POS,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Rushawn Lawrence,D16,,ST,6,0,0,2,0,4,0
Anthony Smith,D00,,ST,8,0,0,3,0,5,0
Matt Kingsbury,D49,,ST,14,5,3,2,4,0,0
Mason Carrier,D48,,ST,14,5,3,2,4,0,0
Maverick Baranowski,D06,,ST,13,0,0,4,4,5,0
Frank Bierman,44,,ST,8,5,0,0,0,3,0
Jameson Geers,86,,ST,12,5,0,0,4,3,0
Derik LeCaptain,D35,,ST,19,5,3,2,4,5,0
Joey Gerlach,D19,,ST,14,5,3,2,4,0,0
Za'Quan Bryan,D04,,ST,9,0,0,5,0,4,0
John Nestor,D17,,ST,9,0,0,4,0,5,0
Alan Soukup,S80,,LS,7,0,0,0,4,0,3
Evan Redding,D22,,ST,4,0,3,1,0,0,0
Aidan Gousby,D07,,ST,7,0,0,3,0,4,0
Jaxon Howard,D01,,ST,9,0,0,4,0,5,0
Ashton Beers,78,,ST,3,0,0,0,0,0,3
Greg Johnson,65,,ST,3,0,0,0,0,0,3
Emmanuel Karmo,D02,,ST,3,0,3,0,0,0,0
Jai'Onte' McMillan,D24,,ST,4,0,3,1,0,0,0
Tom Weston,S42,,P,8,0,1,0,4,0,3
Nate Becker,D89,,ST,5,0,0,1,0,1,3
Marcellus Marshall,74,,ST,3,0,0,0,0,0,3
Jacob Simpson,88,,ST,5,5,0,0,0,0,0
Dylan Ray,73,,ST,3,0,0,0,0,0,3
Koi Perich,D03,,ST,15,5,0,5,0,5,0
Garrison Monroe,D23,,ST,13,5,3,2,3,0,0
Devon Williams,D09,,ST,12,0,0,3,4,5,0
Aluma Nkele,70,,ST,3,0,0,0,0,0,3
Deven Eastern,D91,,ST,6,0,0,2,0,4,0
Jalen Logan-Redding,D97,,ST,2,0,0,1,0,1,0
Jeff Roberson,D20,,ST,8,5,3,0,0,0,0
Mike Gerald,D13,,ST,2,0,0,1,0,1,0
Rhyland Kelly,D18,,ST,2,0,2,0,0,0,0
Kenric Lanier II,15,,ST,1,0,0,1,0,0,0
Kerry Brown,D14,,ST,1,0,0,1,0,0,0
Brady Denaburg,S92,,K,6,0,3,0,0,0,3
Darius Green,D12,,ST,1,0,0,1,0,0,0
Logan Loya,17,,ST,2,0,0,1,1,0,0
Cam Davis,23,,ST,5,5,0,0,0,0,0
Simon Seidl,D27,,ST,5,0,0,2,3,0,0
