Player,#,S,POS,TOT
Athan Kaliakmanis,16,*,QB,82
Sheffield,00,*,SRWR,74
Antwan Raymond,3,*,HB,34
Ian Strong,9,*,LWR,75
Gus Zilinskas,59,*,C,82
Kwabena Asamoah,69,*,RG,82
KJ Duff,8,*,RWR,78
Taj White,54,*,RT,65
Ja'shon Benjamin,20,,HB,20
Bryan Felter,65,*,LG,82
CJ Campbell Jr.,5,,HB,28
DT Sheffield,0,*,SRWR,74
Kenny Fletcher Jr.,12,*,TER,43
Ben Black,17,,RWR,10
Dane Pardridge,89,,SRWR,2
Dino Kaliakmanis,83,,LWR,3
Tyler Needham,56,,LT,55
Dantae Chin,76,*,LT,44
Colin Weber,18,,TEL,43
