Rank,Player,#,S,POS,TOT
1,Eric O'Neill,D99,*,DLE,27
2,DJ McClary,D13,,MLB,4
3,Bradley Weaver,D94,*,DLE,20
4,Jett Elad,D09,*,SS,42
5,Zaire Angoy,D55,*,DRT,16
6,Jacobie Henderson,D10,*,RCB,36
7,Farell Gnago,D90,,DLT,8
8,Wydeek Collier,D43,,DRE,2
9,Oliver Billotte,D97,,DLT,18
10,Chris Joines,D20,,SS,22
11,Jesse Ofurie,D16,,FS,7
12,Sam Robinson,D04,,WLB,6
13,Darold DeNgohe,D92,,NT,15
14,Bo Mascoe,D03,*,LCB,23
15,Cam Miller,D07,*,SCB,42
16,Al-Shadee Salaam,D21,,RCB,26
17,Kevin Levy,D24,,RCB,9
18,Sebastian Jusma,D29,,SCB,10
19,Jordan Walker,D01,*,ROLB,29
20,Moses Walker,D02,*,WLB,26
21,Kamar Archie,D36,,MLB,3
22,Zilan Williams,D15,,WLB,3
23,Timmy Ward,D38,,SS,3
24,Isaiah Crumpler,D26,,SS,3
25,Renick Dorilas,D12,,FS,1
25,Canaan Edwards,D18,,LE,1
27,RJ Johnson Jr.,D32,,LOLB,7
28,Jordan Thompson,D14,,ROLB,19
29,Henry Hughes Jr.,D95,,DRT,9
30,Keshon Griffin,D96,*,NT,21
31,Abram Wright,D06,,WLB,22
32,Sage Clawges,D27,,LCB,7
33,Jyon Simon,D88,,NT,3
34,Kaj Sanders,D05,*,SS,27
35,Djibril Abdou Rahman,D91,,DRE,13
36,Austin Dean,D47,,WLB,7
37,Dariel Djabome,D08,*,WLB,35
