Rank,Player,#,S,POS,TOT
1,Moshood Giwa,74,,LT,23
2,Sheffield,00,*,SLWR,56
2,Athan Kaliakmanis,16,*,QB,62
3,John Stone,71,,LG,23
4,Jackson Gister,82,,TE-L,3
5,Chris Vigna,67,,RG,23
6,Terrence Salami,73,,C,23
6,Tyler Needham,56,*,LT,51
8,Colin Weber,18,,TE-L,32
9,KJ Duff,8,*,LWR,62
10,Taj White,54,*,RT,62
11,Michael Thomas III,80,,LWR,12
12,Antwan Raymond,3,*,HB,35
13,Gus Zilinskas,59,*,C,62
14,Ja'shon Benjamin,20,,HB,26
15,Kwabena Asamoah,69,*,RG,62
16,Vernon Allen III,13,,RWR,8
17,AJ Surace,10,,QB,18
18,Kenny Fletcher Jr.,12,*,TE-L,35
19,Justin Cesaire,79,,RT,23
20,Bryan Felter,65,*,LG,62
21,DT Sheffield,0,*,SLWR,56
22,Terrell Mitchell,26,,HB,8
23,Ben Black,17,*,RWR,62
24,Edd Guerrier,23,,HB,15
24,Logan Blake,11,,TE-R,18
26,Dino Kaliakmanis,83,,LWR,12
27,Kenny Jones,77,,LT,11
28,Mike Higgins,88,,TE-L,2
29,CJ Campbell Jr.,5,,HB,1
30,Trent Osborn,25,,RWR,3
31,Sean Ashenfelder,6,,QB,5
32,Dane Pardridge,89,,SLWR,4
33,Dylan Braithwaite,7,,SLWR,20
34,Sah'nye Degraffenreidt,14,,LWR,11
