Player,#,S,POS,TOT
Dariel Djabome,D08,*,MLB,57
Kaj Sanders,D05,*,SS,51
Bo Mascoe,D03,*,LCB,49
Eric O'Neill,D99,*,DLE,34
Austin Dean,D47,,WLB,3
Jett Elad,D09,*,SS,58
Henry Hughes Jr.,D95,,DRT,1
Moses Walker,D02,*,WLB,24
Abram Wright,D06,,WLB,36
Wydeek Collier,D43,,DRE,1
Cam Miller,D07,*,SCB,55
Jacobie Henderson,D10,*,RCB,53
Jordan Walker,D01,*,ROLB,31
Bradley Weaver,D94,,DLE,29
Darold DeNgohe,D92,,NT,17
Zaire Angoy,D55,*,DRT,40
Chris Joines,D20,,SS,9
Oliver Billotte,D97,,DLT,15
Keshon Griffin,D96,*,NT,37
Jordan Thompson,D14,,ROLB,31
Al-Shadee Salaam,D21,,RCB,18
