Player,#,S,POS,TOT,KRET,KCOV,PRET,PCOV,FGBLK,FGK
Ben Black,17,,ST,15,7,5,2,1,0,0
Zilan Williams,D15,,ST,12,7,5,0,0,0,0
Michael O'Connor,S99,,LS,9,0,0,0,3,0,6
Terrence Salami,73,,ST,6,0,0,0,0,0,6
John Stone,71,,ST,6,0,0,0,0,0,6
Sage Clawges,D27,,ST,5,0,5,0,0,0,0
Isaiah Crumpler,D26,,ST,5,0,5,0,0,0,0
Moshood Giwa,74,,ST,6,0,0,0,0,0,6
Austin Dean,D47,,ST,8,7,0,1,0,0,0
Michael Robinson II,31,,ST,13,7,5,1,0,0,0
Jordan Thompson,D14,,ST,7,0,0,0,0,1,6
Bo Mascoe,D03,,ST,9,0,0,3,0,6,0
Logan Blake,11,,ST,6,0,0,0,0,0,6
Bryan Felter,65,,ST,6,0,0,0,0,0,6
Dylan Braithwaite,67,,ST,7,0,5,0,2,0,0
Dariel Djabome,D08,,ST,10,0,0,0,3,7,0
Riley McCann,S22,,K,6,0,0,0,0,0,6
Jett Elad,D09,,ST,9,0,0,2,0,7,0
Keshon Griffin,D96,,ST,12,0,0,0,0,6,6
Kaj Sanders,D05,,ST,9,0,0,3,0,6,0
Jacobie Henderson,D10,,ST,7,0,0,0,0,7,0
Ben Rothhaar,24,,ST,2,0,0,2,0,0,0
Jackson Gister,82,,ST,10,7,0,0,3,0,0
Mike Higgins,88,,ST,3,3,0,0,0,0,0
Jack Scullion,S93,,K,5,0,5,0,0,0,0
Sam Robinson,D04,,ST,1,0,0,1,0,0,0
Jakob Anderson,S94,,P,3,0,0,0,3,0,0
DT Sheffield,0,,ST,3,0,0,3,0,0,0
Darold DeNgohe,D92,,ST,1,0,0,0,0,1,0
Jordan Walker,D01,,ST,9,0,0,0,3,6,0
Jai Patel,S44,,K,6,0,0,0,0,0,6
Kenny Fletcher Jr.,12,,ST,1,0,0,0,1,0,0
Eric O'Neill,D99,,ST,4,0,0,0,0,4,0
Bradley Weaver,D94,,ST,3,0,0,0,0,3,0
Colin Weber,18,,ST,6,4,0,0,2,0,0
Al-Shadee Salaam,D21,,ST,2,0,0,1,0,1,0
Cam Miller,D07,,ST,9,0,0,2,0,7,0
KJ Duff,8,,ST,7,7,0,0,0,0,0
Abram Wright,D06,,ST,4,0,0,0,0,4,0
Oliver Billotte,D97,,ST,1,0,0,0,0,1,0
Moses Walker,D02,,ST,6,0,0,0,3,3,0
Zaire Angoy,D55,,ST,6,0,0,0,0,6,0
Chris Joines,D20,,ST,19,7,5,3,3,1,0
Timmy Ward,D38,,ST,18,7,5,3,3,0,0
Dino Kaliakmanis,83,,ST,18,7,5,3,3,0,0
Jesse Ofurie,D16,,ST,15,7,5,3,0,0,0
Kwabena Asamoah,69,,ST,6,0,0,0,0,0,6
