Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week5_Snaps,Week5_Started
Bryce Butler,D92,*,DRT,21,false,24,true,,false,30,false,24,false
Elinneus Davis,D90,*,NT,23,true,25,false,,false,37,false,32,true
Zach Durfee,D05,*,ROLB,,false,28,true,,false,47,true,10,true
Jacob Manu,D09,,RLB,,false,,false,,false,,false,29,true
Alex McLaughlin,D12,*,SS,62,true,41,true,,false,68,true,64,true
Deshawn Lynch,D41,,ROLB,,false,,false,,false,5,false,41,false
Xe'ree Alexander,D10,,WLB,13,false,,false,,false,19,false,31,false
Dylan Robinson,D06,,LCB,,false,14,false,,false,28,false,61,true
Simote Pepa,D77,,NT,10,false,26,false,,false,12,false,3,false
Logan Sagapolu,D97,,RE,,false,,false,,false,1,false,3,false
Ta'ita'i Uiagalelei,D11,*,RE,40,true,26,true,,false,42,true,34,true
Ephesians Prysock,D07,*,RCB,52,true,41,true,,false,68,true,64,true
Anthony Ward,D57,,MLB,,false,12,false,,false,,false,2,false
Anterio Thompson,D54,*,DRT,45,true,25,false,,false,30,true,24,false
Makell Esteen,D24,*,FS,62,true,42,true,,false,57,true,64,true
Deven Bryant,D17,*,WLB,47,true,32,true,,false,52,true,64,true
Rylon Dillard-Allen,D18,,FS,7,false,,false,,false,15,false,43,false
Jacob Lane,D48,*,LOLB,45,true,28,true,,false,35,true,44,true
Isaiah Ward,D91,,LOLB,24,false,,false,,false,49,false,38,false
Armon Parker,D95,,DLT,,false,18,false,,false,9,false,6,false
Leroy Bryant,D00,,LCB,12,false,30,true,,false,41,true,23,false
Taariq Al-Uqdah,D03,*,MLB,59,true,41,true,,false,52,true,,false
Tacario Davis,D08,*,LCB,60,true,15,true,,false,,false,,false
Milton Hopkins Jr.,D14,,ROLB,,false,3,false,,false,,false,,false
Griffin Miller,D49,,LLB,,false,2,false,,false,,false,,false
D'Aryhian Clemons,D28,,SCB,,false,7,false,,false,,false,,false
Omar Khan,D98,,DRT,,false,4,false,,false,,false,,false
Tristan Warner,D32,,SS,,false,3,false,,false,,false,,false
Devin Hyde,D52,,ROLB,10,false,14,false,,false,2,false,,false
Rahshawn Clark,D02,,SCB,35,false,,false,,false,37,true,,false
Hayden Moore,D44,,ROLB,,false,11,false,,false,2,false,,false
Vincent Holmes,D27,,SS,,false,11,false,,false,10,false,,false
Ramonz Adams Jr.,D26,,RCB,,false,,false,,false,,false,,false
