Player,#,S,POS,Week1_Snaps,Week1_Started,Week2_Snaps,Week2_Started,Week3_Snaps,Week3_Started,Week4_Snaps,Week4_Started,Week5_Snaps,Week5_Started
Jonah Coleman,01,*,HB,52,true,53,true,,false,39,true,37,true
Dezmen Roebuck,81,,RWR,30,false,60,false,,false,43,true,36,true
Adam Mohammed,24,,HB,19,false,36,false,,false,14,false,17,false
Decker DeGraaf,86,,TE-R,68,false,,false,,false,47,true,43,false
Drew Azzopardi,74,*,RT,76,true,65,true,,false,53,true,52,true
Demond Williams Jr.,02,*,QB,76,true,56,true,,false,53,true,52,true
John Mills,72,*,LG,53,true,36,true,,false,34,true,52,true
Carver Willis,50,*,LT,,false,65,true,,false,53,true,28,true
Quentin Moore,88,*,TE-R,29,true,27,false,,false,15,false,16,true
Omari Evans,05,,RWR,,false,,false,,false,13,false,19,false
Landen Hatchett,66,*,C,76,true,65,true,,false,53,true,52,true
Denzel Boston,12,*,LWR,70,true,54,true,,false,47,true,52,true
Jordan Washington,04,,HB,6,false,9,false,,false,3,false,1,false
Kade Eldridge,44,*,TE-R,10,true,25,false,,false,3,false,3,false
Raiden Vines-Bright,07,,SLWR,32,false,20,true,,false,29,true,36,true
Maximus McCree,77,,LT,,false,13,false,,false,,false,24,false
Geirean Hatchett,56,*,RG,76,true,65,true,,false,53,true,52,true
Rashid Williams,03,*,RWR,44,true,2,true,,false,,false,,false
Justice Williams,16,,LWR,,false,13,false,,false,,false,,false
Kai Horton,15,,QB,,false,22,false,,false,,false,,false
Chris Lawson,08,,RWR,,false,17,false,,false,,false,,false
Champ Taulealea,73,,RG,,false,13,false,,false,,false,,false
Zachary Henning,58,,C,,false,13,false,,false,,false,,false
Baron Naone,85,,TE-L,,false,2,false,,false,,false,,false
Soane Faasolo,68,,C,,false,,false,,false,,false,,false
Audric Harris,13,,SRWR,15,false,17,false,,false,10,false,,false
Kevin Green Jr.,00,,RWR,5,false,19,false,,false,2,false,,false
Paki Finau,53,,LG,23,false,42,false,,false,19,false,,false
