Player,#,S,POS,Week1_KRET,Week1_KCOV,Week1_PRET,Week1_PCOV,Week1_FGBLK,Week1_FGK,Week2_KRET,Week2_KCOV,Week2_PRET,Week2_PCOV,Week2_FGBLK,Week2_FGK,Week3_KRET,Week3_KCOV,Week3_PRET,Week3_PCOV,Week3_FGBLK,Week3_FGK,Week4_KRET,Week4_KCOV,Week4_PRET,Week4_PCOV,Week4_FGBLK,Week4_FGK,Week5_KRET,Week5_KCOV,Week5_PRET,Week5_PCOV,Week5_FGBLK,Week5_FGK
Ryan Kean,S33,,LS,0,0,0,2,0,6,0,0,0,0,0,10,,,,,,0,0,0,0,0,9,0,0,0,0,0,0
Anthony Ward,D57,,ST,4,7,3,0,0,0,3,11,6,0,1,0,,,,,,5,10,2,0,1,0,0,0,0,0,0,0
Deven Bryant,D17,,ST,0,7,4,0,3,0,0,11,6,0,1,0,,,,,,0,10,2,0,3,0,0,0,0,0,0,0
Vincent Holmes,D27,,ST,4,7,3,0,0,0,3,11,6,0,0,0,,,,,,5,10,2,0,0,0,0,0,0,0,0,0
Paki Finau,53,,ST,0,0,0,0,0,6,0,0,0,0,0,10,,,,,,0,0,0,0,0,9,0,0,0,0,0,0
Devin Hyde,D52,,ST,4,0,3,0,0,0,3,11,6,0,0,0,,,,,,5,10,2,0,0,0,0,0,0,0,0,0
Xe'ree Alexander,D10,,ST,4,7,3,2,0,0,3,11,6,0,1,0,,,,,,5,10,2,0,1,0,0,0,0,0,0,0
Zachary Henning,58,,ST,,,,,,0,0,0,0,0,0,10,,,,,,0,0,0,0,0,9,0,0,0,0,0,0
Rylon Dillard-Allen,D18,,ST,0,7,3,2,0,0,0,11,6,0,0,0,,,,,,0,10,2,0,0,0,0,0,0,0,0,0
Soane Faasolo,68,,ST,0,0,0,0,0,6,0,0,0,0,0,10,,,,,,0,0,0,0,0,9,0,0,0,0,0,0
Dylan Robinson,D06,,ST,0,7,0,2,0,0,0,11,6,0,0,0,,,,,,0,10,2,0,1,0,0,0,0,0,0,0
Rahshawn Clark,D02,,ST,0,0,1,0,1,0,2,11,3,0,1,0,,,,,,0,9,0,0,3,0,0,0,0,0,0,0
Drew Azzopardi,74,,ST,0,0,0,0,0,6,0,0,0,0,1,10,,,,,,0,0,0,0,1,9,0,0,0,0,0,0
Leroy Bryant,D00,,ST,0,7,3,0,2,0,0,11,6,0,0,0,,,,,,0,10,2,0,3,0,0,0,0,0,0,0
Alex McLaughlin,D12,,ST,0,7,1,2,3,0,0,11,0,0,2,0,,,,,,0,10,0,0,4,0,0,0,0,0,0,0
Maximus McCree,77,,ST,0,0,0,0,0,6,0,0,0,0,0,10,,,,,,0,0,0,0,0,9,0,0,0,0,0,0
