Player,#,POS,Games,Season_TOT,Season_KRET,Season_KCOV,Season_PRET,Season_PCOV,Season_FGBLK,Season_FGK,Season_KRETURNS,Season_KRETURN_YARDS,Season_KRETURN_YPA,Season_PRETURNS,Season_PRETURN_YARDS,Season_PRETURN_YPA
Quentin Moore,88,TE,4,49,17,0,0,5,0,27,0,0,0.0,0,0,0.0
Decker DeGraaf,86,TE,4,47,15,0,0,5,0,27,1,10,10.0,0,0,0.0
Hayden Moore,D44,ED,4,34,17,0,12,5,0,0,0,0,0.0,0,0,0.0
Devin Bryant,D17,LB,4,54,0,31,12,0,11,0,0,0,0.0,0,0,0.0
Devin Hyde,D52,ED,4,53,17,24,12,0,0,0,0,0,0.0,0,0,0.0
Xe'ree Alexander,D10,LB,4,71,17,31,12,5,6,0,1,18,18.0,0,0,0.0
Jonah Coleman,01,HB,4,22,17,0,0,5,0,0,1,26,26.0,0,0,0.0
Ryan Kean,S33,LS,4,32,0,0,0,5,0,27,0,0,0.0,0,0,0.0
Vincent Holmes,D27,S,4,60,17,31,12,0,0,0,0,0,0.0,0,0,0.0
Rylon Dillard-Allen,D18,S,4,48,0,31,12,5,0,0,0,0,0.0,0,0,0.0
Paki Finau,53,G,4,27,0,0,0,0,0,27,0,0,0.0,0,0,0.0
Soane Faasolo,68,T,4,27,0,0,0,0,0,27,0,0,0.0,0,0,0.0
Rahshawn Clark,D02,CB,3,31,2,20,4,0,5,0,1,0,0.0,1,17,17.0
Zachary Henning,58,C,3,21,0,0,0,0,0,21,0,0,0.0,0,0,0.0
Drew Azzopardi,74,T,4,30,0,0,0,0,3,27,0,0,0.0,0,0,0.0
Maximus McCree,77,T,4,27,0,0,0,0,0,27,0,0,0.0,0,0,0.0
Ephesians Prysock,D07,CB,4,14,0,0,1,0,13,0,0,0,0.0,0,0,0.0
CJ Christian,D04,S,1,10,0,7,3,0,0,0,0,0,0.0,0,0,0.0
John Mills,72,G,4,30,0,0,0,0,3,27,0,0,0.0,0,0,0.0
Tacario Davis,D08,CB,2,5,0,0,1,0,4,0,0,0,0.0,0,0,0.0
Geirean Hatchett,56,G,1,6,0,0,0,0,0,6,0,0,0.0,0,0,0.0
Paul Mencke Jr.,D31,S,2,5,0,4,1,0,0,0,0,0,0.0,0,0,0.0
Luke Dunne,S45,P,4,32,0,0,0,5,0,27,0,0,0.0,0,0,0.0
Ethan Moczulski,S37,K,4,24,0,24,0,0,0,0,0,0,0.0,0,0,0.0
Taariq Al-Uqdah,D03,LB,3,10,0,0,1,0,9,0,0,0,0.0,0,0,0.0
Grady Gross,S95,K,4,34,0,7,0,0,0,27,0,0,0.0,0,0,0.0
Isaiah Ward,D91,ED,3,4,0,0,1,0,3,0,0,0,0.0,0,0,0.0
Makell Esteen,D24,S,4,34,0,7,12,2,13,0,0,0,0.0,0,0,0.0
Zach Durfee,D05,ED,3,7,0,0,1,0,6,0,0,0,0.0,0,0,0.0
Dezmen Roebuck,81,WR,4,17,17,0,0,0,0,0,1,10,10.0,0,0,0.0
Bryce Butler,D92,DI,3,5,0,0,1,0,4,0,0,0,0.0,0,0,0.0
Denzel Boston,12,WR,4,9,0,0,9,0,0,0,3,0,0.0,3,89,29.7
Ta'ita'i Uiagalelei,D11,DI,4,8,0,0,1,0,7,0,0,0,0.0,0,0,0.0
Jacob Lane,D48,ED,4,9,0,0,1,0,8,0,0,0,0.0,0,0,0.0
Deshawn Lynch,D41,ED,1,3,0,0,0,0,3,0,0,0,0.0,0,0,0.0
Justice Williams,16,WR,4,17,17,0,0,0,0,0,0,0,0.0,0,0,0.0
Logan Sagapolu,D97,DI,1,2,0,0,0,0,2,0,0,0,0.0,0,0,0.0
Elinneus Davis,D90,DI,2,2,0,0,0,0,2,0,0,0,0.0,0,0,0.0
Adam Mohammed,24,HB,4,20,17,0,0,3,0,0,6,158,26.3,0,0,0.0
Armon Parker,D95,DI,2,3,0,0,0,0,3,0,0,0,0.0,0,0,0.0
Simote Pepa,D77,DI,3,4,0,0,0,0,4,0,0,0,0.0,0,0,0.0
Anterio Thompson,D54,DI,2,4,0,0,0,0,4,0,0,0,0.0,0,0,0.0
Alex McLaughlin,D12,S,4,50,0,31,1,5,13,0,0,0,0.0,0,0,0.0
Anthony Ward,D57,LB,4,63,17,31,12,0,3,0,0,0,0.0,0,0,0.0
Leroy Bryant,D00,CB,4,52,0,31,12,0,9,0,0,0,0.0,0,0,0.0
Dylan Robinson,D06,CB,4,50,0,31,9,5,5,0,0,0,0.0,0,0,0.0
